	category	Stim	OldNumber	Recognition_ACC	Recognition_RESP	Recognition_RT	Spatial_RESP	Spatial_RT	Condition	CorrectSource	Stim_RT
0	OLD	vegie_mushroom.bmp	Old76	1	1	3.383	6	1343	0	8	1.2209999999999999
1	OLD	animal_frog.bmp	Old06	1	1	2.0540000000000003	5	1387	1	6	2.088
2	OLD	food_shellpasta.bmp	Old25	1	1	1.944	9	737	1	5	2.074
3	New	food_bread.bmp	New28	1	2	1.7209999999999999	9	737	1	6	1.494
4	New	kitchen_fork_old.bmp	New18	1	2	1.33	9	737	1	9	1.5619999999999998
5	OLD	animal_monarch_old.bmp	Old08	0	2	3.595	9	737	1	8	1.97
6	OLD	musical_harp_new.bmp	Old43	1	1	0.955	8	988	1	9	1.683
7	OLD	food_rawchicken.bmp	Old23	0	2	2.427	8	988	0	5	0.8809999999999999
8	OLD	fruit_lemon_new.bmp	Old69	1	1	1.456	9	2084	0	6	1.2670000000000001
9	New	food_drink.bmp	New05	1	2	1.182	9	2084	1	8	1.9180000000000001
10	OLD	food_candy.bmp	Old16	0	2	1.358	9	2084	0	8	0.8270000000000001
11	OLD	sporting_rollerblade.bmp	Old62	1	1	1.982	9	710	1	6	1.402
12	New	sporting_windsurf.bmp	New31	1	2	2.151	9	710	1	5	2.108
13	OLD	food_softcheese.bmp	Old24	1	1	1.464	8	700	0	8	0.789
14	New	animal_ostrich.bmp	New26	1	2	1.375	8	700	1	6	1.87
15	OLD	musical_double bass.bmp	Old45	1	1	1.271	8	634	1	6	1.466
16	New	sporting_golf ball.bmp	New19	1	2	1.199	8	634	1	8	1.9709999999999999
17	OLD	animal_farm pig.bmp	Old05	1	1	1.117	9	744	1	5	1.335
18	New	kitchen_garlic press.bmp	New07	1	2	1.273	9	744	1	9	1.6540000000000001
19	OLD	sporting_karate clothing.bmp	Old60	1	1	1.692	6	655	1	9	1.218
20	OLD	sporting_footballhelmet.bmp	Old57	1	1	1.8430000000000002	5	736	1	5	1.129
21	OLD	food_croissant01.bmp	Old19	1	1	0.968	8	536	1	5	1.421
22	OLD	food_pickle01a.bmp	Old22	1	1	0.968	6	968	0	5	0.868
23	New	fruit_apricot_new.bmp	New04	1	2	1.6469999999999998	6	968	1	5	1.235
24	OLD	musical_acoustic guitar_new.bmp	Old42	1	1	1.06	9	551	1	8	2.199
25	OLD	sporting_soccer ball_new.bmp	Old65	0	2	1.8780000000000001	9	551	0	5	0.748
26	New	food_cookie01.bmp	New11	1	2	1.298	9	551	1	6	1.28
27	OLD	food_pecan02.bmp	Old21	1	1	1.709	6	590	1	5	1.8090000000000002
28	OLD	food_baguette01.bmp	Old14	0	2	3.428	6	590	1	6	1.0290000000000001
29	OLD	vegie_radish.bmp	Old77	0	2	1.53	6	590	1	5	0.888
30	OLD	vegie_corn02.bmp	Old73	1	1	1.706	5	445	1	8	1.561
31	OLD	kitchen_wooden spoon_old.bmp	Old39	1	1	1.785	6	465	1	5	1.885
32	New	animal_dolphin_old.bmp	New09	1	2	1.237	6	465	1	9	2.476
33	OLD	animal_camel_new.bmp	Old01	1	1	1.321	8	515	0	6	0.669
34	New	musical_zamponia windflute.bmp	New29	1	2	1.765	8	515	0	9	0.7909999999999999
35	New	vegie_broccoli.bmp	New36	1	2	2.437	8	515	0	8	0.6459999999999999
36	New	kitchen_ramekin.bmp	New13	1	2	0.9620000000000001	8	515	0	5	1.094
37	OLD	kitchen_white strainer.bmp	Old38	0	2	1.153	8	515	1	8	1.9909999999999999
38	New	food_pizza.bmp	New22	1	2	1.058	8	515	0	9	1.464
39	New	kitchen_kettle_new.bmp	New24	1	2	0.902	8	515	1	9	1.7480000000000002
40	New	sporting_flippers.bmp	New02	1	2	1.455	8	515	0	6	0.9179999999999999
41	New	sporting_baseball bat_new.bmp	New08	1	2	1.771	8	515	1	8	1.12
