	Condition	CorrectSource	Stim_RT
0	Enc	8	1.447
1	CTL	6	1.328
2	Enc	5	2.058
3	Enc	5	1.152
4	CTL	5	1.025
5	CTL	6	1.034
6	Enc	6	1.449
7	Enc	5	1.093
8	CTL	6	0.0
9	Enc	9	1.448
10	CTL	9	1.06
11	Enc	6	1.444
12	CTL	9	0.817
13	CTL	5	0.869
14	Enc	8	0.99
15	Enc	9	1.258
16	Enc	5	1.276
17	Enc	9	2.037
18	Enc	5	1.052
19	Enc	8	1.054
20	Enc	8	1.04
21	Enc	9	0.689
22	Enc	8	0.877
23	Enc	5	0.841
24	CTL	8	0.835
25	Enc	8	1.015
26	Enc	8	0.8
27	Enc	5	1.13
28	CTL	8	0.731
29	Enc	9	0.966
30	Enc	9	1.099
31	Enc	6	0.963
32	Enc	8	1.11
33	Enc	8	0.945
34	Enc	9	0.968
35	Enc	5	0.865
36	Enc	6	0.878
37	CTL	9	1.335
38	CTL	6	0.899
39	CTL	6	0.916
40	CTL	5	0.691
41	Enc	9	1.278
42	Enc	8	1.05
43	CTL	9	1.027
44	Enc	6	1.284
45	Enc	6	0.764
46	Enc	9	1.104
47	Enc	8	0.916
48	CTL	8	0.933
49	Enc	9	0.873
50	CTL	9	1.521
51	CTL	8	0.99
52	Enc	8	0.0
53	Enc	9	1.17
54	Enc	6	1.086
55	CTL	5	1.485
56	Enc	5	1.153
57	Enc	6	0.933
58	Enc	6	1.274
59	Enc	8	0.905
60	Enc	9	1.628
61	CTL	5	0.893
62	Enc	5	1.491
63	CTL	8	0.82
64	CTL	9	0.784
65	Enc	6	1.719
66	CTL	8	0.912
67	Enc	9	0.753
68	Enc	6	1.024
69	Enc	9	1.945
70	Enc	6	1.051
71	Enc	8	0.77
72	Enc	9	1.502
73	Enc	8	0.89
74	CTL	9	1.157
75	Enc	9	0.922
76	CTL	6	0.0
77	Enc	5	1.009
78	Enc	8	0.728
79	Enc	5	1.097
80	Enc	6	1.583
81	CTL	6	0.9
82	Enc	5	1.293
83	Enc	6	1.321
84	Enc	8	1.108
85	CTL	6	1.83
86	CTL	9	0.903
87	CTL	5	0.731
88	Enc	5	1.821
89	Enc	5	1.361
90	CTL	8	1.095
91	Enc	5	2.091
92	Enc	9	0.989
93	CTL	9	1.447
94	Enc	9	1.17
95	Enc	5	0.755
96	CTL	6	0.0
97	CTL	5	1.207
98	Enc	8	1.685
99	Enc	6	1.163
100	CTL	5	0.0
101	CTL	8	1.505
102	Enc	6	2.018
103	Enc	5	1.435
104	CTL	8	1.048
105	CTL	6	1.021
106	Enc	6	1.287
107	Enc	8	1.275
108	CTL	5	0.917
109	CTL	8	1.455
110	Enc	9	1.369
111	Enc	8	1.618
112	CTL	9	1.415
113	Enc	9	1.369
114	Enc	6	1.668
115	Enc	5	1.459
116	Enc	6	1.071
