trial_num	Unnamed: 0.1	Unnamed: 0.1.1	Unnamed: 0.1.1.1	Unnamed: 0.1.1.1.1	Unnamed: 0.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	onset	stimDurSec	fixOnsetSec	fixlen	trial_type	CorrectSource	Stim_RT	duration	isi	isiFix	trial_end	unscanned	stimDur	fixDur	fixcross
7	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	64.038	3.0	67.047	4.0	CTL02	5.0	0.721	9.998000000000005	4.999000000000009	4.998999999999995	74.036	0.0	4.999000000000009	4.998999999999995	67.047
8	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	71.042	3.0	74.051	2.5	CTL03	6.0	1.021	14.00800000000001	7.004000000000005	7.004000000000005	85.05000000000001	0.0	7.004000000000005	7.004000000000005	74.051
9	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	76.542	3.0	79.551	1.5	CTL04	6.0	0.617	11.0	5.5	5.5	87.542	0.0	5.5	5.5	79.551
10	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	81.039	3.0	84.04799999999999	5.0	CTL05	9.0	0.7190000000000001	8.993999999999986	4.497	4.496999999999986	90.03299999999999	0.0	4.497	4.496999999999986	84.04799999999999
13	13.0	13.0	13.0	13.0	13.0	13.0	13.0	13.0	13.0	13.0	13.0	13.0	13.0	13.0	13.0	13.0	13.0	13.0	13.0	13.0	13.0	13.0	99.059	3.0	102.068	3.0	CTL06	9.0	0.643	12.001999999999995	6.000999999999991	6.001000000000005	111.061	0.0	6.000999999999991	6.001000000000005	102.068
23	23.0	23.0	23.0	23.0	23.0	23.0	23.0	23.0	23.0	23.0	23.0	23.0	23.0	23.0	23.0	23.0	23.0	23.0	23.0	23.0	23.0	23.0	159.57399999999998	3.0	162.583	4.0	CTL07	5.0	0.8390000000000001	8.993999999999971	4.496999999999986	4.496999999999986	168.56799999999996	0.0	4.496999999999986	4.496999999999986	162.583
24	24.0	24.0	24.0	24.0	24.0	24.0	24.0	24.0	24.0	24.0	24.0	24.0	24.0	24.0	24.0	24.0	24.0	24.0	24.0	24.0	24.0	24.0	166.578	3.0	169.58700000000002	3.0	CTL08	8.0	0.6990000000000001	14.008000000000038	7.004000000000019	7.004000000000019	180.58600000000004	0.0	7.004000000000019	7.004000000000019	169.58700000000002
30	30.0	30.0	30.0	30.0	30.0	30.0	30.0	30.0	30.0	30.0	30.0	30.0	30.0	30.0	30.0	30.0	30.0	30.0	30.0	30.0	30.0	30.0	198.08900000000003	3.0	201.098	9.5	CTL09	8.0	0.8029999999999999	15.012000000000029	7.506000000000029	7.506	213.10100000000008	0.0	7.506000000000029	7.506	201.098
32	32.0	32.0	32.0	32.0	32.0	32.0	32.0	32.0	32.0	32.0	32.0	32.0	32.0	32.0	32.0	32.0	32.0	32.0	32.0	32.0	32.0	32.0	217.096	3.0	220.105	4.0	CTL10	9.0	0.7070000000000001	13.006	6.503000000000014	6.502999999999986	230.102	0.0	6.503000000000014	6.502999999999986	220.105
42	42.0	42.0	42.0	42.0	42.0	42.0	42.0	42.0	42.0	42.0	42.0	42.0	42.0	42.0	42.0	42.0	42.0	42.0	42.0	42.0	42.0	42.0	279.633	3.0	282.642	1.0	CTL11	6.0	0.833	7.021999999999991	3.5109999999999677	3.511000000000024	286.655	0.0	3.510999999999968	3.511000000000024	282.642
