trial_num	Unnamed: 0.1	Unnamed: 0.1.1	Unnamed: 0.1.1.1	Unnamed: 0.1.1.1.1	Unnamed: 0.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	onset	stimDurSec	fixOnsetSec	fixlen	ImageID	trial_type	CorrectSource	Stim_RT	duration	isi	isiFix	trial_end	unscanned	stimDur	fixDur	fixcross
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	20.023	3.0	23.032	8.0	Old64	Enc01	8	0.5529999999999999	26.032	4.0120000000000005	4.0120000000000005	46.055	False	4.0120000000000005	4.0120000000000005	23.032
2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	31.022	3.0	34.031	7.5	Old12	Enc02	5	0.8340000000000001	37.031	10.998999999999999	10.998999999999999	68.053	False	10.999	10.999	34.031
3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	41.52	3.0	44.529	0.5	Old57	Enc03	5	0.679	47.529	10.498000000000005	10.498000000000005	89.049	False	10.498000000000005	10.498000000000005	44.529
4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	45.03100000000001	3.0	48.04	6.0	Old41	Enc04	6	0.8320000000000001	51.04	3.51100000000001	3.5109999999999957	96.07100000000001	False	3.51100000000001	3.510999999999996	48.04
5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	54.041	3.0	57.05	2.0	Old48	Enc05	5	0.918	60.05	9.009999999999984	9.009999999999998	114.091	False	9.009999999999984	9.009999999999998	57.05
6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	59.03899999999999	3.0	62.048	2.0	Old71	Enc06	9	0.7120000000000001	65.048	4.9979999999999905	4.998000000000005	124.08699999999999	False	4.997999999999991	4.998000000000005	62.048
11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	89.046	3.0	92.055	1.0	Old63	Enc07	6	0.7440000000000001	95.055	8.007000000000005	8.00700000000002	184.101	False	8.007000000000005	8.00700000000002	92.055
12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	93.058	3.0	96.067	3.0	Old02	Enc08	8	0.908	99.067	4.0120000000000005	4.011999999999986	192.125	False	4.0120000000000005	4.011999999999986	96.067
14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	105.06	3.0	108.069	2.5	Old47	Enc09	9	1.042	111.069	6.001000000000005	6.001000000000005	216.12900000000002	False	6.001000000000005	6.001000000000005	108.069
15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	110.56	3.0	113.569	6.5	Old09	Enc10	5	1.15	116.569	5.5	5.5	227.12900000000002	False	5.5	5.5	113.569
16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	120.072	3.0	123.081	2.5	Old27	Enc11	9	0.662	126.081	9.512	9.512	246.15300000000002	False	9.512	9.512	123.081
17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	125.572	3.0	128.58100000000002	2.0	Old39	Enc12	5	1.185	131.58100000000002	5.5	5.500000000000014	257.153	False	5.5	5.500000000000014	128.58100000000002
18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	130.57	3.0	133.579	4.5	Old76	Enc13	8	0.907	136.579	4.9979999999999905	4.9979999999999905	267.149	False	4.997999999999991	4.997999999999991	133.579
19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	138.076	3.0	141.085	4.5	Old77	Enc14	8	1.057	144.085	7.506	7.506	282.161	False	7.506	7.506	141.085
20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	145.582	3.0	148.591	2.5	Old70	Enc15	9	0.863	151.591	7.506	7.506	297.173	False	7.506	7.506	148.591
21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	151.08100000000002	3.0	154.09	1.0	Old72	Enc16	8	1.588	157.09	5.499000000000024	5.498999999999995	308.17100000000005	False	5.499000000000024	5.498999999999995	154.09
22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	155.077	3.0	158.086	1.5	Old05	Enc17	5	0.968	161.086	3.995999999999981	3.9960000000000093	316.163	False	3.995999999999981	3.996000000000009	158.086
25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	172.579	3.0	175.588	1.0	Old38	Enc18	8	0.889	178.588	6.001000000000005	6.000999999999976	351.16700000000003	False	6.001000000000005	6.000999999999976	175.588
26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	176.574	3.0	179.583	1.0	Old19	Enc19	8	0.966	182.583	3.9950000000000045	3.9950000000000045	359.15700000000004	False	3.995000000000005	3.995000000000005	179.583
27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	180.57	3.0	183.579	0.5	Old16	Enc20	5	1.274	186.579	3.995999999999981	3.9960000000000093	367.149	False	3.995999999999981	3.996000000000009	183.579
28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	184.08	3.0	187.08900000000003	3.5	Old74	Enc21	9	1.66	190.08900000000003	3.5100000000000193	3.5100000000000193	374.16900000000004	False	3.51000000000002	3.51000000000002	187.08900000000003
29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	190.583	3.0	193.592	4.5	Old14	Enc22	9	1.141	196.592	6.502999999999986	6.502999999999986	387.175	False	6.502999999999986	6.502999999999986	193.592
31	31	31	31	31	31	31	31	31	31	31	31	31	31	31	31	31	31	31	31	31	31	31	210.593	3.0	213.602	3.5	Old07	Enc23	6	0.939	216.602	12.503999999999962	12.50399999999999	427.195	False	12.503999999999962	12.50399999999999	213.602
33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	224.1	3.0	227.109	4.0	Old21	Enc24	8	1.263	230.109	7.003999999999991	7.004000000000019	454.209	False	7.003999999999991	7.004000000000019	227.109
34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	231.104	3.0	234.113	1.0	Old44	Enc25	8	0.923	237.113	7.004000000000019	7.003999999999991	468.217	False	7.004000000000019	7.003999999999991	234.113
35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	235.099	3.0	238.108	6.0	Old24	Enc26	9	1.016	241.108	3.994999999999976	3.9950000000000045	476.207	False	3.994999999999976	3.995000000000005	238.108
36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	244.11	3.0	247.11900000000003	6.5	Old51	Enc27	5	1.277	250.11900000000003	9.011000000000024	9.011000000000024	494.22900000000004	False	9.011000000000024	9.011000000000024	247.11900000000003
37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	253.621	3.0	256.63	2.0	Old36	Enc28	6	1.022	259.63	9.510999999999996	9.510999999999967	513.251	False	9.510999999999996	9.510999999999967	256.63
38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	258.62	3.0	261.629	1.5	Old45	Enc29	9	1.031	264.629	4.998999999999995	4.999000000000024	523.249	False	4.998999999999995	4.999000000000024	261.629
39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	263.117	3.0	266.126	2.5	Old52	Enc30	8	0.789	269.126	4.497000000000014	4.496999999999957	532.2429999999999	False	4.497000000000014	4.496999999999957	266.126
40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	268.616	3.0	271.625	4.5	Old31	Enc31	6	0.73	274.625	5.498999999999967	5.499000000000024	543.241	False	5.498999999999967	5.499000000000024	271.625
41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	276.122	3.0	279.131	0.5	Old01	Enc32	6	0.928	282.131	7.506000000000029	7.505999999999972	558.2529999999999	False	7.506000000000029	7.505999999999972	279.131
43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	283.645	3.0	286.654	1.5	Old04	Enc33	9	0.973	289.654	4.0120000000000005	4.0120000000000005	573.299	False	4.0120000000000005	4.0120000000000005	286.654
44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	288.141	3.0	291.15	2.0	Old54	Enc34	8	0.885	294.15	4.496000000000038	4.495999999999981	582.2909999999999	False	4.496000000000038	4.495999999999981	291.15
46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	300.144	3.0	303.153	2.0	Old11	Enc35	9	0.89	306.153	7.004000000000019	7.004000000000019	606.297	False	7.004000000000019	7.004000000000019	303.153
47	47	47	47	47	47	47	47	47	47	47	47	47	47	47	47	47	47	47	47	47	47	47	305.142	3.0	308.151	2.5	Old65	Enc36	8	1.555	311.151	4.9979999999999905	4.9979999999999905	616.293	False	4.997999999999991	4.997999999999991	308.151
48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	310.642	3.0	313.651	2.0	Old17	Enc37	9	1.767	316.651	5.5	5.5	627.293	False	5.5	5.5	313.651
49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	315.64	3.0	318.649	14.0	Old73	Enc38	6	1.873	321.649	4.9979999999999905	4.9979999999999905	637.289	False	4.997999999999991	4.997999999999991	318.649
50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	333.14300000000003	3.0	336.152	4.0	Old15	Enc39	5	1.882	339.152	17.503000000000043	17.502999999999986	672.2950000000001	False	17.503000000000043	17.502999999999986	336.152
52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	344.644	3.0	347.653	1.0	Old23	Enc40	6	1.837	350.653	4.497000000000014	4.497000000000014	695.297	False	4.497000000000014	4.497000000000014	347.653
56	56	56	56	56	56	56	56	56	56	56	56	56	56	56	56	56	56	56	56	56	56	56	368.164	3.0	371.173	2.5	Old43	Enc41	6	1.764	374.173	4.9979999999999905	4.9979999999999905	742.337	False	4.997999999999991	4.997999999999991	371.173
57	57	57	57	57	57	57	57	57	57	57	57	57	57	57	57	57	57	57	57	57	57	57	373.664	3.0	376.673	3.0	Old30	Enc42	8	2.384	379.673	5.5	5.5	753.337	False	5.5	5.5	376.673
58	58	58	58	58	58	58	58	58	58	58	58	58	58	58	58	58	58	58	58	58	58	58	379.665	3.0	382.674	3.0	Old37	Enc43	9	1.575	385.674	6.001000000000033	6.000999999999976	765.3389999999999	False	6.001000000000033	6.000999999999976	382.674
