	stimOnsetSec	stimDurSec	fixOnsetSec	fixDurSec	ImageID	tNumXcond	category	Stim	OldNumber	Recognition_ACC	Recognition_RESP	Recognition_RT	Spatial_RESP	Spatial_RT
0	16.038	3.0	19.038	1.0	False	CTL01	New	vegie_pumpkin.bmp	New21	1	2	2.45	False	0
1	20.038	3.0	23.037	8.0	Old60	Enc01	OLD	musical_triangle.bmp	Old49	0	2	0.91	False	0
2	31.037	3.0	34.036	7.5	Old08	Enc02	OLD	food_frenchfries.bmp	Old20	1	1	5.167000000000001	9.0	2248
3	41.535	3.0	44.535	0.5	Old62	Enc03	New	musical_tambourine_new.bmp	New06	1	2	2.085	9.0	2248
4	45.035	3.0	48.035	6.0	Old47	Enc04	OLD	sporting_americanfootball.bmp	Old53	1	1	1.975	8.0	1735
5	54.034	3.0	57.034	2.0	Old41	Enc05	OLD	musical_piano_old.bmp	Old48	1	1	3.359	8.0	976
6	59.034	3.0	62.033	2.0	Old69	Enc06	OLD	food_pecan02.bmp	Old21	0	2	5.502999999999999	8.0	976
7	64.033	3.0	67.033	4.0	False	CTL02	OLD	sporting_snow shoes_old.bmp	Old64	1	1	2.889	9.0	2037
8	71.033	3.0	74.032	2.5	False	CTL03	New	kitchen_kettle_new.bmp	New24	1	2	2.097	9.0	2037
9	76.532	3.0	79.532	1.5	False	CTL04	New	animal_dolphin_old.bmp	New09	1	2	1.379	9.0	2037
10	81.032	3.0	84.031	5.0	False	CTL05	OLD	animal_cheetah.bmp	Old02	1	1	2.377	5.0	2217
11	89.031	3.0	92.031	1.0	Old58	Enc07	New	fruit_rasberry.bmp	New10	1	2	1.686	5.0	2217
12	93.03	3.0	96.03	3.0	Old05	Enc08	OLD	fruit_blackberry_new.bmp	Old66	0	2	1.4469999999999998	5.0	2217
13	99.03	3.0	102.03	3.0	False	CTL06	OLD	musical_tuba.bmp	Old50	1	1	1.867	8.0	1336
14	105.029	3.0	108.029	2.5	Old45	Enc09	OLD	vegie_corn02.bmp	Old73	1	1	2.016	5.0	1103
15	110.529	3.0	113.52799999999999	6.5	Old12	Enc10	OLD	animal_farm pig.bmp	Old05	0	2	2.7060000000000004	5.0	1103
16	120.02799999999999	3.0	123.02799999999999	2.5	Old34	Enc11	OLD	kitchen_cookie cutter.bmp	Old30	0	2	2.388	5.0	1103
17	125.527	3.0	128.52700000000002	2.0	Old32	Enc12	OLD	musical_double bass.bmp	Old45	1	1	1.625	6.0	1832
18	130.52700000000002	3.0	133.52700000000002	4.5	Old77	Enc13	OLD	fruit_pineapple_old.bmp	Old70	1	1	1.597	6.0	1125
19	138.026	3.0	141.026	4.5	Old76	Enc14	OLD	animal_lion_new.bmp	Old07	1	1	1.614	8.0	1509
20	145.525	3.0	148.525	2.5	Old71	Enc15	OLD	food_candy.bmp	Old16	1	1	3.0060000000000002	5.0	2237
21	151.025	3.0	154.025	1.0	Old78	Enc16	OLD	vegie_garlic01a.bmp	Old74	0	2	2.1069999999999998	5.0	2237
22	155.024	3.0	158.024	1.5	Old09	Enc17	New	kitchen_baking spatula.bmp	New01	1	2	1.716	5.0	2237
23	159.524	3.0	162.524	4.0	False	CTL07	OLD	Kitchen_apron.bmp	Old27	1	1	3.2769999999999997	6.0	1425
24	166.523	3.0	169.523	3.0	False	CTL08	OLD	food_softcheese.bmp	Old24	1	1	1.798	5.0	1046
25	172.523	3.0	175.52200000000002	1.0	Old30	Enc18	OLD	food_cracker02.bmp	Old18	0	2	2.37	5.0	1046
26	176.52200000000002	3.0	179.52200000000002	1.0	Old14	Enc19	OLD	food_bottleofredwine01.bmp	Old15	0	2	4.952	5.0	1046
27	180.52200000000002	3.0	183.52200000000002	0.5	Old25	Enc20	OLD	fruit_green grapes.bmp	Old68	1	1	1.401	9.0	2472
28	184.02200000000002	3.0	187.021	3.5	Old66	Enc21	New	sporting_golf ball.bmp	New19	1	2	3.283	9.0	2472
29	190.521	3.0	193.521	4.5	Old26	Enc22	OLD	kitchen_pitcher.bmp	Old34	1	1	3.133	9.0	439
30	198.02	3.0	201.02	9.5	False	CTL09	OLD	sporting_skipping rope.bmp	Old63	0	2	1.2930000000000001	9.0	439
31	210.519	3.0	213.519	3.5	Old01	Enc23	OLD	sporting_footballhelmet.bmp	Old57	1	1	1.9769999999999999	8.0	5889
