	Condition	CorrectSource	Stim_RT
0	CTL	8	1.026
1	Enc	6	1.637
2	Enc	5	2.311
3	Enc	6	1.66
4	Enc	9	1.295
5	Enc	8	1.207
6	Enc	9	1.04
7	CTL	5	0.767
8	CTL	6	0.897
9	Enc	8	1.244
10	CTL	8	0.944
11	Enc	6	1.223
12	Enc	5	1.177
13	CTL	8	0.658
14	Enc	6	1.411
15	Enc	6	0.951
16	Enc	8	1.329
17	Enc	5	1.077
18	Enc	9	0.94
19	Enc	9	0.952
20	Enc	5	1.422
21	Enc	5	1.338
22	CTL	5	1.074
23	Enc	5	1.017
24	Enc	8	0.845
25	CTL	5	0.808
26	Enc	6	0.749
27	Enc	5	1.198
28	Enc	6	0.778
29	Enc	5	0.964
30	Enc	8	0.95
31	Enc	5	1.355
32	Enc	9	1.057
33	CTL	6	0.77
34	CTL	9	0.835
35	CTL	8	0.643
36	CTL	5	0.739
37	Enc	8	1.036
38	CTL	9	0.741
39	Enc	9	1.034
40	CTL	6	0.891
41	Enc	8	0.765
42	Enc	6	1.214
43	Enc	9	1.012
44	Enc	6	0.773
45	Enc	9	1.238
46	Enc	6	1.258
47	CTL	6	0.732
48	Enc	5	1.12
49	Enc	9	1.026
50	Enc	8	1.196
51	Enc	6	0.911
52	CTL	6	0.67
53	CTL	9	0.521
54	Enc	6	0.937
55	Enc	5	1.139
56	Enc	6	1.132
57	CTL	8	0.788
58	Enc	9	1.04
59	Enc	8	0.931
60	Enc	9	1.258
61	CTL	9	0.822
62	Enc	8	0.944
63	Enc	9	0.624
64	CTL	8	0.704
65	CTL	5	0.913
66	CTL	5	0.685
67	CTL	8	0.799
68	CTL	9	0.65
69	CTL	8	0.66
70	Enc	6	1.1
71	Enc	6	1.569
72	Enc	8	1.167
73	Enc	9	1.032
74	Enc	6	1.514
75	CTL	9	1.1
76	CTL	5	0.721
77	Enc	5	1.05
78	Enc	9	0.845
79	Enc	8	0.892
80	Enc	8	0.878
81	CTL	6	0.811
82	Enc	6	1.096
83	CTL	6	0.912
84	Enc	9	1.017
85	Enc	9	0.888
86	Enc	5	1.008
87	CTL	9	0.733
88	Enc	8	1.188
89	CTL	8	0.742
90	Enc	8	1.05
91	CTL	8	0.674
92	Enc	5	0.938
93	CTL	5	0.616
94	Enc	8	0.679
95	Enc	9	1.017
96	CTL	9	0.784
97	CTL	9	0.689
98	Enc	8	1.043
99	Enc	8	0.831
100	CTL	6	0.673
101	Enc	5	0.869
102	Enc	9	0.935
103	Enc	5	0.959
104	Enc	9	1.219
105	Enc	8	1.136
106	CTL	6	0.801
107	Enc	6	1.135
108	Enc	9	1.139
109	CTL	5	0.964
110	CTL	6	0.656
111	Enc	5	1.049
112	Enc	6	1.271
113	CTL	9	0.748
114	Enc	5	0.905
115	Enc	5	1.113
116	Enc	8	1.613
