	Condition	CorrectSource	Stim_RT
0	CTL	8	1.248
1	Enc	6	1.81
2	Enc	5	2.056
3	Enc	6	1.806
4	Enc	9	1.704
5	Enc	8	1.566
6	Enc	9	1.768
7	CTL	5	0.748
8	CTL	6	1.004
9	Enc	8	1.228
10	CTL	8	1.429
11	Enc	6	1.709
12	Enc	5	1.899
13	CTL	8	0.846
14	Enc	6	1.39
15	Enc	6	1.68
16	Enc	8	1.323
17	Enc	5	2.047
18	Enc	9	2.197
19	Enc	9	2.116
20	Enc	5	1.639
21	Enc	5	2.576
22	CTL	5	1.62
23	Enc	5	1.803
24	Enc	8	2.294
25	CTL	5	0.959
26	Enc	6	1.687
27	Enc	5	2.07
28	Enc	6	1.926
29	Enc	5	1.906
30	Enc	8	1.997
31	Enc	5	1.621
32	Enc	9	1.693
33	CTL	6	0.811
34	CTL	9	1.138
35	CTL	8	0.898
36	CTL	5	0.778
37	Enc	8	1.6
38	CTL	9	1.119
39	Enc	9	2.525
40	CTL	6	1.865
41	Enc	8	2.519
42	Enc	6	1.38
43	Enc	9	1.763
44	Enc	6	2.191
45	Enc	9	1.962
46	Enc	6	1.914
47	CTL	6	1.279
48	Enc	5	1.988
49	Enc	9	2.55
50	Enc	8	1.714
51	Enc	6	1.862
52	CTL	6	0.885
53	CTL	9	0.75
54	Enc	6	2.275
55	Enc	5	1.687
56	Enc	6	1.601
57	CTL	8	0.871
58	Enc	9	1.656
59	Enc	8	1.557
60	Enc	9	1.264
61	CTL	9	0.916
62	Enc	8	1.537
63	Enc	9	1.847
64	CTL	8	1.003
65	CTL	5	2.308
66	CTL	5	0.645
67	CTL	8	0.901
68	CTL	9	0.697
69	CTL	8	0.693
70	Enc	6	1.819
71	Enc	6	2.363
72	Enc	8	2.59
73	Enc	9	2.289
74	Enc	6	2.426
75	CTL	9	1.178
76	CTL	5	0.67
77	Enc	5	1.606
78	Enc	9	2.716
79	Enc	8	2.013
80	Enc	8	1.966
81	CTL	6	2.166
82	Enc	6	2.352
83	CTL	6	0.845
84	Enc	9	0.0
85	Enc	9	1.224
86	Enc	5	2.064
87	CTL	9	1.193
88	Enc	8	1.752
89	CTL	8	0.865
90	Enc	8	1.893
91	CTL	8	0.752
92	Enc	5	1.689
93	CTL	5	0.725
94	Enc	8	1.603
95	Enc	9	2.046
96	CTL	9	1.022
97	CTL	9	0.694
98	Enc	8	1.624
99	Enc	8	1.059
100	CTL	6	0.979
101	Enc	5	1.312
102	Enc	9	1.16
103	Enc	5	2.268
104	Enc	9	0.0
105	Enc	8	1.581
106	CTL	6	1.035
107	Enc	6	1.76
108	Enc	9	1.205
109	CTL	5	1.404
110	CTL	6	0.664
111	Enc	5	2.075
112	Enc	6	1.613
113	CTL	9	0.911
114	Enc	5	1.32
115	Enc	5	2.02
116	Enc	8	1.919
