	Condition	CorrectSource	Stim_RT
0	CTL	8	2.223
1	Enc	6	2.17
2	Enc	5	0.0
3	Enc	6	2.559
4	Enc	9	2.787
5	Enc	8	2.651
6	Enc	9	2.197
7	CTL	5	1.171
8	CTL	6	1.124
9	Enc	8	2.112
10	CTL	8	1.052
11	Enc	6	0.0
12	Enc	5	0.916
13	CTL	8	0.0
14	Enc	6	1.727
15	Enc	6	1.403
16	Enc	8	1.621
17	Enc	5	1.569
18	Enc	9	1.487
19	Enc	9	1.676
20	Enc	5	1.57
21	Enc	5	1.943
22	CTL	5	0.974
23	Enc	5	1.66
24	Enc	8	1.6
25	CTL	5	0.813
26	Enc	6	1.313
27	Enc	5	2.186
28	Enc	6	1.645
29	Enc	5	1.752
30	Enc	8	2.49
31	Enc	5	1.838
32	Enc	9	1.996
33	CTL	6	2.165
34	CTL	9	0.679
35	CTL	8	0.558
36	CTL	5	0.653
37	Enc	8	1.263
38	CTL	9	1.601
39	Enc	9	1.55
40	CTL	6	0.783
41	Enc	8	1.672
42	Enc	6	1.265
43	Enc	9	1.152
44	Enc	6	1.097
45	Enc	9	1.001
46	Enc	6	1.27
47	CTL	6	0.968
48	Enc	5	1.379
49	Enc	9	1.342
50	Enc	8	1.112
51	Enc	6	1.85
52	CTL	6	0.953
53	CTL	9	0.677
54	Enc	6	1.309
55	Enc	5	1.486
56	Enc	6	0.688
57	CTL	8	0.863
58	Enc	9	1.675
59	Enc	8	1.415
60	Enc	9	0.55
61	CTL	9	0.682
62	Enc	8	0.715
63	Enc	9	0.716
64	CTL	8	0.836
65	CTL	5	0.709
66	CTL	5	0.585
67	CTL	8	0.666
68	CTL	9	0.614
69	CTL	8	0.704
70	Enc	6	1.143
71	Enc	6	1.5
72	Enc	8	1.571
73	Enc	9	1.005
74	Enc	6	1.838
75	CTL	9	0.68
76	CTL	5	0.755
77	Enc	5	0.661
78	Enc	9	1.249
79	Enc	8	1.519
80	Enc	8	0.953
81	CTL	6	0.797
82	Enc	6	1.403
83	CTL	6	0.961
84	Enc	9	2.836
85	Enc	9	0.547
86	Enc	5	0.577
87	CTL	9	0.655
88	Enc	8	0.519
89	CTL	8	0.576
90	Enc	8	1.483
91	CTL	8	0.682
92	Enc	5	1.308
93	CTL	5	0.578
94	Enc	8	1.368
95	Enc	9	1.002
96	CTL	9	0.658
97	CTL	9	0.723
98	Enc	8	1.62
99	Enc	8	1.136
100	CTL	6	0.659
101	Enc	5	1.19
102	Enc	9	1.328
103	Enc	5	1.921
104	Enc	9	0.557
105	Enc	8	0.737
106	CTL	6	0.691
107	Enc	6	0.568
108	Enc	9	0.933
109	CTL	5	1.229
110	CTL	6	0.761
111	Enc	5	0.611
112	Enc	6	1.2
113	CTL	9	0.605
114	Enc	5	1.402
115	Enc	5	1.194
116	Enc	8	2.094
