	Condition	CorrectSource	Stim_RT
0	Enc	8	0.605
1	CTL	6	0.76
2	Enc	5	0.714
3	Enc	5	0.636
4	CTL	5	0.561
5	CTL	6	0.564
6	Enc	6	0.6
7	Enc	5	0.535
8	CTL	6	0.692
9	Enc	9	0.666
10	CTL	9	0.627
11	Enc	6	1.057
12	CTL	9	0.684
13	CTL	5	0.552
14	Enc	8	0.74
15	Enc	9	0.788
16	Enc	5	0.728
17	Enc	9	0.812
18	Enc	5	0.94
19	Enc	8	0.652
20	Enc	8	0.959
21	Enc	9	0.783
22	Enc	8	0.954
23	Enc	5	0.805
24	CTL	8	0.685
25	Enc	8	0.74
26	Enc	8	0.752
27	Enc	5	0.745
28	CTL	8	0.64
29	Enc	9	0.587
30	Enc	9	0.745
31	Enc	6	0.556
32	Enc	8	1.038
33	Enc	8	1.196
34	Enc	9	1.111
35	Enc	5	0.891
36	Enc	6	0.625
37	CTL	9	0.726
38	CTL	6	0.721
39	CTL	6	0.755
40	CTL	5	0.511
41	Enc	9	0.648
42	Enc	8	0.762
43	CTL	9	0.611
44	Enc	6	0.604
45	Enc	6	0.864
46	Enc	9	0.889
47	Enc	8	0.73
48	CTL	8	0.517
49	Enc	9	0.516
50	CTL	9	0.661
51	CTL	8	0.551
52	Enc	8	0.841
53	Enc	9	0.802
54	Enc	6	0.843
55	CTL	5	0.536
56	Enc	5	0.574
57	Enc	6	0.663
58	Enc	6	0.549
59	Enc	8	0.575
60	Enc	9	1.037
61	CTL	5	0.791
62	Enc	5	1.037
63	CTL	8	0.998
64	CTL	9	0.695
65	Enc	6	0.603
66	CTL	8	0.579
67	Enc	9	0.656
68	Enc	6	0.807
69	Enc	9	0.815
70	Enc	6	0.542
71	Enc	8	0.656
72	Enc	9	0.949
73	Enc	8	0.781
74	CTL	9	0.682
75	Enc	9	0.558
76	CTL	6	0.566
77	Enc	5	0.854
78	Enc	8	0.871
79	Enc	5	0.681
80	Enc	6	0.831
81	CTL	6	0.676
82	Enc	5	0.702
83	Enc	6	0.764
84	Enc	8	0.754
85	CTL	6	0.602
86	CTL	9	0.742
87	CTL	5	0.503
88	Enc	5	0.57
89	Enc	5	0.656
90	CTL	8	0.588
91	Enc	5	0.876
92	Enc	9	0.972
93	CTL	9	0.0
94	Enc	9	0.903
95	Enc	5	0.91
96	CTL	6	0.868
97	CTL	5	0.631
98	Enc	8	0.655
99	Enc	6	0.713
100	CTL	5	0.551
101	CTL	8	0.934
102	Enc	6	0.654
103	Enc	5	0.54
104	CTL	8	0.754
105	CTL	6	0.498
106	Enc	6	0.507
107	Enc	8	0.833
108	CTL	5	0.592
109	CTL	8	0.46
110	Enc	9	0.713
111	Enc	8	0.74
112	CTL	9	0.661
113	Enc	9	0.719
114	Enc	6	0.699
115	Enc	5	0.76
116	Enc	6	0.895
