category	stim	oldnumber	recognition_acc	recognition_resp	recognition_rt	spatial_resp	spatial_rt	spatial_acc( corriger voir output-encodage)
new	musical_bongo drum.bmp	new23	1	2	2433	9	429	
old	musical_tuba.bmp	old50	0	2	6005	9	429	
old	food_pickle01a.bmp	old22	1	1	1387	5	274	
new	vegie_pumpkin.bmp	new21	1	2	1653	5	274	
old	sporting_hockey stick_old.bmp	old58	1	1	1505	9	2019	
new	kitchen_toaster_old.bmp	new30	1	2	1376	9	2019	
old	kitchen_peppermill.bmp	old33	1	1	2495	8	387	
old	kitchen_white strainer.bmp	old38	1	1	4241	9	3070	
old	fruit_lemon_new.bmp	old69	1	1	1329	9	403	
old	sporting_footballhelmet.bmp	old57	1	1	6993	6	569	
new	animal_ostrich.bmp	new26	1	2	1544	6	569	
new	kitchen_ramekin.bmp	new13	1	2	3960	6	569	
new	sporting_windsurf.bmp	new31	1	2	8856	6	569	
old	hard_musical_recorder.bmp	old40	0	2	10731	6	569	
