	stimOnsetSec	stimDurSec	fixOnsetSec	fixDurSec	ImageID	tNumXcond	Condition	CorrectSource	Stim_RT
0	14.544	3.0	17.553	6.5	Old59	Enc01	1	6	2.992
1	24.055	3.0	27.064	2.0	Old06	Enc02	1	5	1.969
2	29.054000000000002	3.0	32.063	1.5	Old25	Enc03	1	6	2.8810000000000002
3	33.551	3.0	36.56	1.0	Old69	Enc04	1	9	1.192
4	37.563	3.0	40.571999999999996	8.5	Old57	Enc05	1	8	2.6039999999999996
5	49.06399999999999	3.0	52.073	2.0	Old45	Enc06	1	9	1.767
6	54.062	3.0	57.07100000000001	2.5	Old38	Enc07	1	8	1.209
7	59.562	3.0	62.57100000000001	1.5	False	CTL01	0	8	1.285
8	64.058	3.0	67.067	1.5	False	CTL02	0	5	0.6609999999999999
9	68.555	3.0	71.564	0.5	Old48	Enc08	1	6	2.115
10	72.066	3.0	75.075	0.5	False	CTL03	0	6	1.124
11	75.57600000000002	3.0	78.585	2.0	Old22	Enc09	1	5	1.558
12	80.574	3.0	83.583	1.5	Old39	Enc10	1	6	1.16
13	85.071	3.0	88.08	2.0	False	CTL04	0	8	0.9109999999999999
14	90.069	3.0	93.078	7.5	Old08	Enc11	1	6	1.081
15	100.56700000000001	3.0	103.57600000000001	5.0	Old16	Enc12	1	8	0.871
16	108.575	3.0	111.584	1.5	Old70	Enc13	1	5	0.9420000000000001
17	113.071	3.0	116.08	3.0	Old26	Enc14	1	9	1.246
18	119.073	3.0	122.08200000000001	1.0	Old35	Enc15	1	9	1.7
19	123.085	3.0	126.094	1.5	Old37	Enc16	1	5	1.528
20	127.58200000000001	3.0	130.59	8.5	Old15	Enc17	1	5	1.207
21	139.083	3.0	142.092	2.0	Old02	Enc18	1	5	1.4340000000000002
22	144.08100000000002	3.0	147.09	1.0	False	CTL05	0	8	0.852
23	148.093	3.0	151.102	1.5	False	CTL06	0	5	0.727
24	152.59	3.0	155.599	6.5	Old43	Enc19	1	8	0.99
25	162.101	3.0	165.11	1.5	Old78	Enc20	1	6	1.151
26	166.59799999999998	3.0	169.607	6.5	Old65	Enc21	1	5	1.574
27	176.11	3.0	179.11900000000003	3.5	False	CTL07	0	5	0.998
28	182.613	3.0	185.622	8.0	Old71	Enc22	1	6	0.863
29	193.612	3.0	196.62099999999998	13.0	Old05	Enc23	1	5	1.4709999999999999
30	209.61	3.0	212.61900000000003	1.0	False	CTL08	0	6	0.8009999999999999
31	213.622	3.0	216.63099999999997	2.5	Old07	Enc24	1	8	1.389
32	219.122	3.0	222.13099999999997	1.5	Old50	Enc25	1	5	1.401
33	223.618	3.0	226.627	3.5	Old53	Enc26	1	9	1.545
34	230.12099999999998	3.0	233.13	2.0	Old44	Enc27	1	8	1.4569999999999999
35	235.12	3.0	238.128	3.0	Old19	Enc28	1	9	1.61
36	241.12099999999998	3.0	244.13	7.0	Old29	Enc29	1	8	2.169
37	251.11700000000002	3.0	254.12599999999998	1.0	Old64	Enc30	1	6	2.989
38	255.113	3.0	258.122	0.5	False	CTL09	0	9	0.825
39	258.623	3.0	261.632	1.0	False	CTL10	0	8	1.2830000000000001
40	262.618	3.0	265.627	0.5	Old10	Enc31	1	9	1.4480000000000002
41	266.129	3.0	269.138	7.0	Old75	Enc32	1	6	0.0
42	276.125	3.0	279.134	4.0	Old24	Enc33	1	9	1.964
43	283.13	3.0	286.139	2.0	Old20	Enc34	1	6	1.071
44	288.128	3.0	291.137	2.5	False	CTL11	0	5	0.753
45	293.628	3.0	296.637	4.5	Old77	Enc35	1	5	1.149
46	301.133	3.0	304.142	0.5	Old11	Enc36	1	9	1.436
47	304.644	3.0	307.653	3.0	False	CTL12	0	9	0.917
48	310.645	3.0	313.654	2.0	Old13	Enc37	1	8	1.3869999999999998
49	315.643	3.0	318.652	0.5	False	CTL13	0	6	1.389
50	319.154	3.0	322.163	1.0	False	CTL14	0	6	1.078
51	323.166	3.0	326.175	2.5	False	CTL15	0	6	0.594
52	328.666	3.0	331.675	6.5	False	CTL16	0	9	0.598
53	338.17699999999996	3.0	341.186	9.5	Old52	Enc38	1	6	1.551
54	350.681	3.0	353.69	3.0	Old54	Enc39	1	6	1.4140000000000001
55	356.68300000000005	3.0	359.69199999999995	3.0	Old60	Enc40	1	5	1.3559999999999999
56	362.684	3.0	365.69300000000004	1.0	Old66	Enc41	1	6	1.5230000000000001
57	366.69599999999997	3.0	369.705	2.0	Old61	Enc42	1	9	0.0
58	371.694	3.0	374.70300000000003	1.0	Old14	Enc43	1	8	1.153
59	375.69	3.0	378.699	0.5	Old31	Enc44	1	9	2.589
60	379.2	3.0	382.209	2.5	Old17	Enc45	1	8	1.807
61	384.7	3.0	387.709	8.5	Old33	Enc46	1	9	1.699
62	396.20099999999996	3.0	399.21	5.5	Old27	Enc47	1	6	1.781
63	404.71	3.0	407.719	2.0	Old09	Enc48	1	6	1.3359999999999999
64	409.708	3.0	412.717	6.0	Old46	Enc49	1	8	0.0
65	418.718	3.0	421.727	6.0	Old41	Enc50	1	9	1.088
66	427.728	3.0	430.73699999999997	1.5	Old03	Enc51	1	6	1.005
67	432.225	3.0	435.23400000000004	2.0	False	CTL17	0	8	1.1
68	437.223	3.0	440.23199999999997	1.5	Old40	Enc52	1	5	1.102
69	441.72	3.0	444.72900000000004	4.0	False	CTL18	0	9	0.941
70	448.724	3.0	451.733	0.5	False	CTL19	0	8	0.513
71	452.235	3.0	455.244	6.0	False	CTL20	0	5	1.042
72	461.245	3.0	464.254	0.5	Old58	Enc53	1	9	1.024
73	464.756	3.0	467.765	2.5	Old51	Enc54	1	8	1.105
74	470.255	3.0	473.264	1.5	Old56	Enc55	1	8	1.653
75	474.75199999999995	3.0	477.76099999999997	2.5	Old28	Enc56	1	6	1.1159999999999999
76	480.25199999999995	3.0	483.26099999999997	5.5	False	CTL21	0	5	0.7120000000000001
77	488.76099999999997	3.0	491.77	4.5	Old63	Enc57	1	9	1.371
78	496.267	3.0	499.275	2.5	False	CTL22	0	8	0.721
79	501.76599999999996	3.0	504.775	6.5	Old76	Enc58	1	9	1.158
80	511.278	3.0	514.2869999999998	6.5	False	CTL23	0	9	0.669
81	520.79	3.0	523.799	1.5	False	CTL24	0	8	0.613
82	525.2869999999998	3.0	528.2959999999998	4.5	False	CTL25	0	9	0.556
83	532.7919999999998	3.0	535.8009999999998	1.5	False	CTL26	0	5	0.379
84	537.289	3.0	540.298	0.5	Old55	Enc59	1	5	0.802
85	540.8	3.0	543.809	10.0	False	CTL27	0	6	0.9790000000000001
86	554.307	3.0	557.316	4.5	False	CTL28	0	6	0.551
87	561.812	3.0	564.821	2.0	Old62	Enc60	1	8	1.15
88	566.811	3.0	569.82	1.5	False	CTL29	0	9	0.743
89	571.307	3.0	574.316	12.0	Old12	Enc61	1	8	1.159
90	586.804	3.0	589.813	2.0	Old34	Enc62	1	5	1.429
91	591.802	3.0	594.811	1.0	Old72	Enc63	1	8	1.695
92	595.814	3.0	598.823	4.0	False	CTL30	0	8	0.9309999999999999
93	602.818	3.0	605.827	0.5	Old67	Enc64	1	9	1.015
94	606.3290000000002	3.0	609.3380000000002	4.0	Old73	Enc65	1	8	1.12
95	613.3330000000002	3.0	616.342	3.5	Old74	Enc66	1	8	1.0759999999999998
96	619.836	3.0	622.845	1.0	False	CTL31	0	8	0.669
97	623.8480000000002	3.0	626.857	0.5	False	CTL32	0	5	0.529
98	627.3580000000002	3.0	630.367	2.5	Old04	Enc67	1	5	1.29
99	632.8580000000002	3.0	635.867	0.5	False	CTL33	0	9	0.758
100	636.368	3.0	639.377	9.0	False	CTL34	0	9	0.672
101	648.371	3.0	651.38	2.0	False	CTL35	0	6	0.8370000000000001
102	653.369	3.0	656.378	0.5	Old01	Enc68	1	9	1.423
103	656.88	3.0	659.8889999999999	2.0	False	CTL36	0	6	1.376
104	661.878	3.0	664.887	4.5	False	CTL37	0	5	0.706
105	669.3839999999999	3.0	672.393	4.5	False	CTL38	0	6	0.615
106	676.89	3.0	679.8989999999999	3.5	Old30	Enc69	1	5	1.5730000000000002
107	683.3919999999998	3.0	686.4010000000002	1.5	Old47	Enc70	1	9	0.975
108	687.8889999999999	3.0	690.898	4.5	Old36	Enc71	1	8	1.334
109	695.395	3.0	698.404	0.5	Old21	Enc72	1	6	1.676
110	698.905	3.0	701.914	0.5	Old68	Enc73	1	9	1.382
111	702.416	3.0	705.425	5.0	False	CTL39	0	9	1.071
112	710.423	3.0	713.432	4.5	Old49	Enc74	1	5	1.111
113	717.929	3.0	720.938	5.5	Old42	Enc75	1	6	0.8370000000000001
114	726.438	3.0	729.447	1.0	Old18	Enc76	1	5	1.056
115	730.45	3.0	733.459	0.5	Old32	Enc77	1	5	1.18
116	733.96	3.0	736.9689999999998	13.0	Old23	Enc78	1	8	2.582
