,category,stim,oldnumber,recognition_acc,recognition_resp,recognition_rt,spatial_resp,spatial_rt,spatial_acc( corriger voir output-encodage)
0,old,musical_triangle.bmp,old49,1,1,1842,8,1583,
1,old,sporting_karate clothing.bmp,old60,1,1,2334,8,1367,
2,new,food_cookie01.bmp,new11,1,2,1935,8,1367,
3,old,animal_siamese cat.bmp,old12,0,2,1313,8,1367,
4,old,musical_drums_old.bmp,old46,1,1,1323,8,445,
5,old,musical_acoustic guitar_new.bmp,old42,1,1,1410,8,351,
6,new,animal_gorilla.bmp,new15,0,1,1056,9,412,
7,new,vegie_pumpkin.bmp,new21,1,2,1778,9,412,
8,old,vegie_garlic01a.bmp,old74,1,1,1602,6,337,
9,old,sporting_snow shoes_old.bmp,old64,1,1,1058,6,551,
10,old,kitchen_peppermill.bmp,old33,1,1,976,9,615,
11,old,fruit_pineapple_old.bmp,old70,1,1,822,6,491,
12,old,animal_dalmation_old.bmp,old04,1,1,838,6,2139,
13,new,vegie_broccoli.bmp,new36,1,2,1893,6,2139,
14,new,sporting_flippers.bmp,new02,1,2,1640,6,2139,
15,old,kitchen_apron.bmp,old27,1,1,1365,5,1558,
16,new,fruit_cherry.bmp,old67,1,1,743,9,576,
17,new,vegie_cucumber.bmp,new33,1,2,1815,9,576,
18,new,kitchen_ramekin.bmp,new13,1,2,990,9,576,
19,old,food_baguette01.bmp,old14,1,1,997,5,844,
20,old,kitchen_plate.bmp,old35,1,1,1168,6,361,
21,new,kitchen_spatula_old.bmp,new37,1,2,1578,6,361,
22,old,vegie_green capsicum.bmp,old75,1,1,818,5,1544,
23,old,musical_harmonica_new.bmp,old47,1,1,2104,9,307,
24,old,vegie_mushroom.bmp,old76,1,1,717,6,559,
25,old,animal_cheetah.bmp,old02,1,1,680,9,411,
26,new,sporting_basketball_new.bmp,new14,1,2,1194,9,411,
27,new,food_bread.bmp,new28,1,2,1225,9,411,
28,new,vegie_snowpea01.bmp,new27,1,2,1166,9,411,
29,old,animal_monarch_old.bmp,old08,1,1,1031,9,1197,
30,old,sporting_boxing_gloves.bmp,old56,1,1,1108,9,366,
31,old,kitchen_pitcher.bmp,old34,1,1,1134,8,360,
32,new,musical_zamponia windflute.bmp,new29,1,2,1344,8,360,
33,old,animal_zebra_old.bmp,old13,1,1,1154,9,2362,
34,new,kitchen_fork_old.bmp,new18,1,2,1499,9,2362,
35,old,musical_violin_old.bmp,old51,1,1,1478,9,1242,
36,old,vegie_carrot.bmp,old78,1,1,927,9,393,
37,old,food_pecan02.bmp,old21,1,1,2672,5,1204,
38,old,sporting_americanfootball.bmp,old53,1,1,2379,8,538,
39,old,kitchen_coffee pot.bmp,old29,1,1,715,6,438,
40,old,vegie_radish.bmp,old77,1,1,954,6,331,
41,old,musical_clarinet_new.bmp,old44,1,1,2572,9,372,
42,new,food_pizza.bmp,new22,1,2,1428,9,372,
43,old,kitchen_martini glass.bmp,old32,1,1,738,5,346,
44,old,fruit_lemon_new.bmp,old69,0,2,2715,5,346,
45,old,sporting_rollerblade.bmp,old62,1,1,1134,5,623,
46,old,kitchen_ladle.bmp,old31,1,1,902,9,849,
47,old,sporting_mini-trampoline.bmp,old61,1,1,862,5,474,
48,old,sporting_bicycle_old.bmp,old55,1,1,926,9,527,
49,old,kitchen_tea cup and saucer.bmp,old37,1,1,809,6,327,
50,new,sporting_windsurf.bmp,new31,1,2,1713,6,327,
51,new,animal_horse.bmp,new20,1,2,2131,6,327,
52,new,kitchen_garlic press.bmp,new07,1,2,1214,6,327,
53,old,kitchen_cookie cutter.bmp,old30,1,1,1276,5,568,
54,old,vegie_cauliflower.bmp,old72,1,1,872,6,348,
55,old,hard_musical_recorder.bmp,old40,1,1,3149,6,8934,
56,old,animal_chimpanzee.bmp,old03,1,1,993,9,1776,
57,old,fruit_watermelon_old.bmp,old71,1,1,969,8,481,
58,new,food_bagel01.bmp,new17,1,2,1572,8,481,
59,old,sporting_hockey stick_old.bmp,old58,1,1,2372,6,405,
60,old,sporting_soccer ball_new.bmp,old65,1,1,2139,9,428,
61,new,fruit_granny smith apple.bmp,new16,1,2,1538,9,428,
62,old,kitchen_white strainer.bmp,old38,1,1,1187,6,426,
63,old,food_toast.bmp,old26,1,1,1160,9,1312,
64,new,food_walnut01c.bmp,new34,1,2,1267,9,1312,
65,new,kitchen_toaster_old.bmp,new30,1,2,935,9,1312,
66,new,animal_dolphin_old.bmp,new09,1,2,856,9,1312,
67,new,animal_pigeon.bmp,new32,1,2,813,9,1312,
68,new,sporting_weighlifting.bmp,new25,1,2,723,9,1312,
69,new,kitchen_kettle_new.bmp,new24,1,2,1549,9,1312,
70,new,fruit_apricot_new.bmp,new04,1,2,1030,9,1312,
71,old,animal_farm pig.bmp,old05,1,1,1236,5,562,
72,new,musical_bongo drum.bmp,new23,1,2,1233,5,562,
73,new,kitchen_baking spatula.bmp,new01,1,2,1087,5,562,
74,old,animal_lion_new.bmp,old07,1,1,1082,5,1349,
75,old,food_rawchicken.bmp,old23,1,1,1871,9,307,
76,old,animal_parrot.bmp,old09,1,1,1021,6,339,
77,old,food_chocolatemilk.bmp,old17,1,1,1307,9,270,
78,old,musical_xylophone_old.bmp,old52,1,1,1361,5,434,
79,old,food_pickle01a.bmp,old22,1,1,871,8,387,
80,old,animal_sheep.bmp,old11,1,1,1282,9,454,
81,old,animal_penguin.bmp,old10,1,1,3082,6,4655,
82,old,food_candy.bmp,old16,1,1,940,9,813,
83,new,sporting_golf ball.bmp,new19,1,2,1148,9,813,
84,new,musical_bagpipes.bmp,new35,1,2,933,9,813,
85,new,animal_seal.bmp,new38,1,2,863,9,813,
86,old,musical_piano_old.bmp,old48,1,1,1178,8,394,
87,old,kitchen_wooden spoon_old.bmp,old39,1,1,1000,9,912,
88,old,animal_frog.bmp,old06,1,1,3410,8,593,
89,old,food_frenchfries.bmp,old20,1,1,1183,5,255,
90,old,fruit_green grapes.bmp,old68,0,2,1515,5,255,
91,old,food_cracker02.bmp,old18,1,1,1390,6,253,
92,old,fruit_blackberry_new.bmp,old66,0,2,1201,6,253,
93,old,food_bottleofredwine01.bmp,old15,1,1,4184,8,465,
94,old,kitchen_scrubbing brush.bmp,old36,0,2,2478,8,465,
95,old,animal_camel_new.bmp,old01,1,1,1210,6,288,
96,old,food_shellpasta.bmp,old25,1,1,1523,9,517,
97,old,musical_harp_new.bmp,old43,1,1,1255,8,692,
98,new,animal_ostrich.bmp,new26,1,2,1223,8,692,
99,new,musical_french horn_old.bmp,new12,0,1,1941,6,350,
100,old,musical_tuba.bmp,old50,1,1,2799,6,295,
101,new,musical_uculele_new.bmp,new39,0,1,865,9,2174,
102,new,musical_tambourine_new.bmp,new06,1,2,1590,9,2174,
103,old,sporting_fishing rod.bmp,old59,1,1,1269,8,354,
104,old,vegie_corn02.bmp,old73,1,1,1345,5,538,
105,old,sporting_badminton racquet.bmp,old54,1,1,915,5,397,
106,old,food_softcheese.bmp,old24,1,1,1068,6,377,
107,old,food_croissant01.bmp,old19,1,1,888,9,379,
108,new,animal_giraffe.bmp,new03,1,2,1155,9,379,
109,old,kitchen_big cooking pot.bmp,old28,1,1,939,8,284,
110,old,musical_double bass.bmp,old45,1,1,1320,8,401,
111,old,sporting_footballhelmet.bmp,old57,1,1,1320,9,442,
112,new,fruit_rasberry.bmp,new10,0,1,903,6,7297,
113,new,food_drink.bmp,new05,1,2,1311,6,7297,
114,new,sporting_baseball bat_new.bmp,new08,0,1,1841,9,471,
115,old,sporting_skipping rope.bmp,old63,1,1,1386,5,322,
116,old,musical_accordion_old.bmp,old41,1,1,4075,8,920,
