,category,stim,oldnumber,recognition_acc,recognition_resp,recognition_rt,spatial_resp,spatial_rt,spatial_acc( corriger voir output-encodage)
0,old,animal_penguin.bmp,old10,1,1,3216,8,462,
1,old,sporting_bicycle_old.bmp,old55,0,2,9409,8,462,
2,old,fruit_lemon_new.bmp,old69,1,1,2746,5,4435,
3,new,vegie_broccoli.bmp,new36,1,2,1633,5,4435,
4,old,animal_zebra_old.bmp,old13,1,1,1311,8,369,
5,old,kitchen_apron.bmp,old27,1,1,1105,8,379,
6,old,animal_monarch_old.bmp,old08,1,1,1763,5,436,
7,new,kitchen_toaster_old.bmp,new30,1,2,1257,5,436,
8,new,musical_uculele_new.bmp,new39,0,1,4342,8,455,
9,new,fruit_cherry.bmp,old67,1,1,1611,6,2122,
10,new,food_walnut01c.bmp,new34,1,2,1348,6,2122,
11,old,food_pickle01a.bmp,old22,1,1,1029,8,371,
12,new,vegie_pumpkin.bmp,new21,1,2,1795,8,371,
13,old,animal_lion_new.bmp,old07,1,1,12322,8,488,
14,new,sporting_flippers.bmp,new02,1,2,1267,8,488,
15,old,sporting_boxing_gloves.bmp,old56,1,1,1543,5,465,
16,new,animal_gorilla.bmp,new15,1,2,1157,5,465,
17,old,kitchen_tea cup and saucer.bmp,old37,1,1,1285,9,520,
18,old,animal_sheep.bmp,old11,1,1,1322,6,444,
19,old,kitchen_coffee pot.bmp,old29,1,1,1209,6,311,
20,old,kitchen_big cooking pot.bmp,old28,1,1,1209,8,384,
21,new,food_drink.bmp,new05,1,2,1463,8,384,
22,new,animal_ostrich.bmp,new26,1,2,1412,8,384,
23,old,sporting_mini-trampoline.bmp,old61,1,1,1074,8,382,
24,old,musical_clarinet_new.bmp,old44,1,1,1014,5,428,
25,old,animal_frog.bmp,old06,1,1,842,9,455,
26,new,sporting_baseball bat_new.bmp,new08,1,2,1299,9,455,
27,old,sporting_skipping rope.bmp,old63,1,1,1438,5,675,
28,old,musical_accordion_old.bmp,old41,1,1,3079,8,2107,
29,old,musical_tuba.bmp,old50,1,1,981,9,397,
