,category,stim,oldnumber,recognition_acc,recognition_resp,recognition_rt,spatial_resp,spatial_rt,spatial_acc( corriger voir output-encodage)
0,old,fruit_green grapes.bmp,old68,1,1,5007,5,2389,
1,new,food_walnut01c.bmp,new34,1,2,2084,5,2389,
2,old,kitchen_scrubbing brush.bmp,old36,1,1,2583,6,2376,
3,old,musical_tuba.bmp,old50,1,1,2063,5,700,
4,new,sporting_golf ball.bmp,new19,1,2,2854,5,700,
5,old,musical_triangle.bmp,old49,1,1,2081,9,478,
6,old,sporting_skipping rope.bmp,old63,1,1,1657,5,365,
7,old,kitchen_tea cup and saucer.bmp,old37,0,2,3052,5,365,
8,old,fruit_blackberry_new.bmp,old66,0,2,3849,5,365,
9,new,musical_french horn_old.bmp,new12,0,1,2087,9,1931,
10,old,kitchen_plate.bmp,old35,1,1,1845,6,434,
11,old,animal_zebra_old.bmp,old13,1,1,1335,6,417,
12,old,animal_camel_new.bmp,old01,1,1,1245,9,394,
13,old,sporting_bicycle_old.bmp,old55,0,2,3478,9,394,
14,old,food_cracker02.bmp,old18,1,1,1482,6,390,
15,old,kitchen_wooden spoon_old.bmp,old39,1,1,1395,5,738,
16,old,vegie_mushroom.bmp,old76,1,1,1330,8,1004,
17,old,vegie_garlic01a.bmp,old74,0,2,1674,8,1004,
18,new,kitchen_garlic press.bmp,new07,1,2,1700,8,1004,
19,new,sporting_weighlifting.bmp,new25,1,2,1119,8,1004,
20,old,sporting_boxing_gloves.bmp,old56,1,1,2448,5,901,
21,new,musical_uculele_new.bmp,new39,0,1,3870,8,1123,
22,old,sporting_footballhelmet.bmp,old57,0,2,2203,8,1123,
23,old,vegie_carrot.bmp,old78,1,1,1296,9,1427,
24,old,food_bottleofredwine01.bmp,old15,0,2,3399,9,1427,
25,new,food_drink.bmp,new05,1,2,1502,9,1427,
26,old,animal_cheetah.bmp,old02,1,1,1515,8,398,
27,new,vegie_cucumber.bmp,new33,1,2,1851,8,398,
28,old,sporting_americanfootball.bmp,old53,1,1,2143,6,328,
29,new,food_cookie01.bmp,new11,1,2,4568,6,328,
30,old,animal_parrot.bmp,old09,0,2,1248,6,328,
31,new,kitchen_spatula_old.bmp,new37,1,2,13628,6,328,
32,new,fruit_rasberry.bmp,new10,1,2,1060,6,328,
33,old,sporting_badminton racquet.bmp,old54,1,1,3278,9,1098,
34,new,kitchen_kettle_new.bmp,new24,1,2,1900,9,1098,
35,new,kitchen_ramekin.bmp,new13,1,2,759,9,1098,
36,old,musical_double bass.bmp,old45,1,1,1887,8,506,
37,old,vegie_green capsicum.bmp,old75,1,1,2531,5,597,
38,old,kitchen_pitcher.bmp,old34,1,1,2660,5,369,
39,new,sporting_basketball_new.bmp,new14,0,1,1183,6,1111,
40,new,fruit_cherry.bmp,old67,1,1,2808,8,302,
41,old,musical_clarinet_new.bmp,old44,1,1,1504,8,691,
42,old,fruit_watermelon_old.bmp,old71,1,1,1326,9,368,
43,old,musical_xylophone_old.bmp,old52,1,1,1263,8,347,
44,new,musical_bongo drum.bmp,new23,1,2,1867,8,347,
45,old,kitchen_peppermill.bmp,old33,1,1,1637,6,3602,
46,old,hard_musical_recorder.bmp,old40,1,1,2266,9,1286,
47,new,animal_pigeon.bmp,new32,1,2,2391,9,1286,
48,new,food_pizza.bmp,new22,1,2,846,9,1286,
49,new,food_bread.bmp,new28,1,2,1033,9,1286,
50,new,kitchen_fork_old.bmp,new18,1,2,797,9,1286,
51,new,vegie_broccoli.bmp,new36,1,2,1131,9,1286,
52,old,animal_penguin.bmp,old10,1,1,1781,8,493,
53,new,kitchen_toaster_old.bmp,new30,1,2,1566,8,493,
54,old,animal_lion_new.bmp,old07,0,2,2190,8,493,
55,old,kitchen_cookie cutter.bmp,old30,1,1,1621,5,299,
56,old,food_baguette01.bmp,old14,1,1,1788,8,995,
57,old,kitchen_big cooking pot.bmp,old28,0,2,1410,8,995,
58,new,animal_horse.bmp,new20,1,2,1369,8,995,
59,new,musical_tambourine_new.bmp,new06,1,2,1113,8,995,
60,old,animal_siamese cat.bmp,old12,0,2,907,8,995,
61,new,kitchen_baking spatula.bmp,new01,1,2,1085,8,995,
62,old,food_rawchicken.bmp,old23,1,1,2600,9,1392,
63,new,sporting_windsurf.bmp,new31,1,2,6167,9,1392,
64,new,musical_zamponia windflute.bmp,new29,1,2,1589,9,1392,
65,old,musical_harp_new.bmp,old43,1,1,1699,8,647,
66,new,fruit_granny smith apple.bmp,new16,1,2,2842,8,647,
67,old,musical_accordion_old.bmp,old41,0,2,1135,8,647,
68,old,animal_monarch_old.bmp,old08,1,1,1608,9,550,
69,old,musical_acoustic guitar_new.bmp,old42,1,1,1486,9,498,
70,old,food_croissant01.bmp,old19,1,1,1387,6,418,
71,old,animal_chimpanzee.bmp,old03,1,1,2807,8,270,
72,old,animal_sheep.bmp,old11,0,2,4192,8,270,
73,old,food_softcheese.bmp,old24,0,2,2095,8,270,
74,old,food_pickle01a.bmp,old22,1,1,1226,5,904,
75,old,vegie_radish.bmp,old77,1,1,1753,8,466,
76,old,food_candy.bmp,old16,0,2,2972,8,466,
77,old,musical_violin_old.bmp,old51,1,1,1251,9,1953,
78,old,sporting_hockey stick_old.bmp,old58,1,1,1271,6,386,
79,old,kitchen_coffee pot.bmp,old29,0,2,5927,6,386,
80,old,sporting_fishing rod.bmp,old59,1,1,1170,5,594,
81,new,food_bagel01.bmp,new17,1,2,1369,5,594,
82,old,vegie_corn02.bmp,old73,1,1,1159,9,2488,
83,new,vegie_pumpkin.bmp,new21,1,2,1468,9,2488,
84,old,food_pecan02.bmp,old21,1,1,3382,5,1519,
85,old,vegie_cauliflower.bmp,old72,1,1,7479,9,1781,
86,old,fruit_pineapple_old.bmp,old70,0,2,1517,9,1781,
87,old,food_shellpasta.bmp,old25,1,1,2055,8,260,
88,old,kitchen_white strainer.bmp,old38,1,1,2374,5,287,
89,new,animal_ostrich.bmp,new26,1,2,1960,5,287,
90,new,fruit_apricot_new.bmp,new04,1,2,935,5,287,
91,old,animal_frog.bmp,old06,0,2,2256,5,287,
92,old,kitchen_apron.bmp,old27,1,1,2915,9,502,
93,old,food_chocolatemilk.bmp,old17,0,2,1752,9,502,
94,old,animal_farm pig.bmp,old05,1,1,1648,5,1291,
95,old,food_toast.bmp,old26,0,2,1431,5,1291,
96,old,sporting_mini-trampoline.bmp,old61,0,2,4285,5,1291,
97,old,fruit_lemon_new.bmp,old69,1,1,1977,6,817,
98,new,animal_giraffe.bmp,new03,1,2,1343,6,817,
99,new,animal_dolphin_old.bmp,new09,1,2,880,6,817,
100,old,kitchen_ladle.bmp,old31,1,1,1986,9,2970,
101,new,vegie_snowpea01.bmp,new27,1,2,1657,9,2970,
102,old,food_frenchfries.bmp,old20,1,1,6748,9,544,
103,new,sporting_baseball bat_new.bmp,new08,1,2,1576,9,544,
104,old,sporting_snow shoes_old.bmp,old64,1,1,1575,5,1903,
105,old,sporting_rollerblade.bmp,old62,1,1,2160,8,2096,
106,old,musical_drums_old.bmp,old46,1,1,4977,9,498,
107,old,musical_piano_old.bmp,old48,1,1,2369,8,409,
108,new,animal_seal.bmp,new38,1,2,4142,8,409,
109,old,animal_dalmation_old.bmp,old04,1,1,1760,5,425,
110,old,musical_harmonica_new.bmp,old47,1,1,3006,9,1012,
111,old,kitchen_martini glass.bmp,old32,1,1,1993,6,569,
112,old,sporting_soccer ball_new.bmp,old65,1,1,8343,8,899,
113,new,sporting_flippers.bmp,new02,1,2,1909,8,899,
114,new,musical_bagpipes.bmp,new35,1,2,799,8,899,
115,new,animal_gorilla.bmp,new15,0,1,2077,5,1201,
116,old,sporting_karate clothing.bmp,old60,1,1,3751,6,480,
