,category,stim,oldnumber,recognition_acc,recognition_resp,recognition_rt,spatial_resp,spatial_rt,spatial_acc( corriger voir output-encodage)
0,old,sporting_karate clothing.bmp,old60,1,1,3791,8,3469,
1,new,fruit_rasberry.bmp,new10,1,2,5582,8,3469,
2,old,food_candy.bmp,old16,1,1,2443,5,6511,
3,new,fruit_apricot_new.bmp,new04,1,2,4158,5,6511,
4,old,sporting_hockey stick_old.bmp,old58,1,1,5181,9,1189,
5,new,food_bread.bmp,new28,1,2,4857,9,1189,
6,new,kitchen_fork_old.bmp,new18,1,2,1996,9,1189,
7,new,vegie_snowpea01.bmp,new27,1,2,7713,9,1189,
8,old,animal_lion_new.bmp,old07,1,1,1681,8,1092,
9,old,kitchen_plate.bmp,old35,1,1,2269,5,4023,
10,old,vegie_carrot.bmp,old78,1,1,2347,6,3124,
11,old,sporting_americanfootball.bmp,old53,1,1,2428,6,2857,
12,old,sporting_fishing rod.bmp,old59,1,1,2939,9,17300,
13,old,food_rawchicken.bmp,old23,1,1,1987,5,2666,
14,old,sporting_badminton racquet.bmp,old54,1,1,2045,9,938,
15,new,vegie_pumpkin.bmp,new21,1,2,2865,9,938,
16,new,animal_seal.bmp,new38,1,2,2378,9,938,
17,old,kitchen_martini glass.bmp,old32,1,1,1857,5,1749,
18,old,musical_harp_new.bmp,old43,1,1,1972,9,1970,
19,old,fruit_pineapple_old.bmp,old70,1,1,2023,9,1220,
20,old,animal_dalmation_old.bmp,old04,1,1,1656,5,2788,
21,old,food_pecan02.bmp,old21,1,1,2264,9,1012,
22,old,sporting_skipping rope.bmp,old63,1,1,1560,9,688,
23,new,vegie_broccoli.bmp,new36,1,2,3466,9,688,
24,new,food_walnut01c.bmp,new34,1,2,3660,9,688,
25,old,kitchen_ladle.bmp,old31,1,1,2167,9,6790,
26,old,animal_zebra_old.bmp,old13,1,1,2042,6,3775,
27,new,sporting_windsurf.bmp,new31,1,2,4198,6,3775,
28,old,food_bottleofredwine01.bmp,old15,1,1,1906,6,1060,
29,old,fruit_watermelon_old.bmp,old71,1,1,1862,5,1050,
30,old,musical_piano_old.bmp,old48,1,1,2006,8,3051,
31,new,musical_french horn_old.bmp,new12,1,2,4909,8,3051,
32,old,kitchen_apron.bmp,old27,1,1,1741,9,2670,
33,old,sporting_snow shoes_old.bmp,old64,1,1,2671,5,3418,
