,category,stim,oldnumber,recognition_acc,recognition_resp,recognition_rt,spatial_resp,spatial_rt,spatial_acc( corriger voir output-encodage)
0,old,sporting_boxing_gloves.bmp,old56,1,1,7185,8,767,
1,old,food_rawchicken.bmp,old23,1,1,2132,6,933,
2,old,food_baguette01.bmp,old14,1,1,3011,9,3177,
3,new,kitchen_fork_old.bmp,new18,1,2,2215,9,3177,
4,old,food_softcheese.bmp,old24,0,2,3820,9,3177,
5,new,animal_giraffe.bmp,new03,1,2,1687,9,3177,
6,old,vegie_corn02.bmp,old73,0,2,2919,9,3177,
7,old,kitchen_scrubbing brush.bmp,old36,0,2,2222,9,3177,
8,old,sporting_karate clothing.bmp,old60,1,1,1674,5,1749,
9,new,vegie_broccoli.bmp,new36,1,2,5820,5,1749,
10,new,vegie_pumpkin.bmp,new21,1,2,1167,5,1749,
11,old,animal_lion_new.bmp,old07,0,2,3845,5,1749,
12,old,musical_harmonica_new.bmp,old47,0,2,3201,5,1749,
13,old,sporting_fishing rod.bmp,old59,1,1,1636,5,546,
14,old,food_chocolatemilk.bmp,old17,1,1,1618,9,680,
15,old,kitchen_big cooking pot.bmp,old28,1,1,2945,9,818,
16,old,food_frenchfries.bmp,old20,1,1,4455,6,466,
17,old,sporting_rollerblade.bmp,old62,1,1,1886,6,1481,
18,old,animal_camel_new.bmp,old01,0,2,2089,6,1481,
19,old,kitchen_plate.bmp,old35,1,1,1898,5,1757,
20,old,musical_tuba.bmp,old50,1,1,1716,9,758,
21,old,animal_sheep.bmp,old11,1,1,1556,6,1428,
22,old,musical_harp_new.bmp,old43,0,2,6336,6,1428,
23,old,animal_cheetah.bmp,old02,0,2,1471,6,1428,
24,old,kitchen_pitcher.bmp,old34,1,1,3544,5,472,
25,old,kitchen_cookie cutter.bmp,old30,1,1,1138,8,611,
26,old,fruit_watermelon_old.bmp,old71,1,1,3815,5,541,
27,old,animal_farm pig.bmp,old05,0,2,1956,5,541,
28,new,food_cookie01.bmp,new11,1,2,1514,5,541,
29,new,animal_dolphin_old.bmp,new09,1,2,1114,5,541,
30,old,fruit_blackberry_new.bmp,old66,1,1,1682,8,2150,
31,new,fruit_rasberry.bmp,new10,1,2,1396,8,2150,
32,old,musical_triangle.bmp,old49,1,1,1273,6,796,
33,old,musical_clarinet_new.bmp,old44,0,2,3961,6,796,
34,new,kitchen_garlic press.bmp,new07,1,2,1264,6,796,
35,new,kitchen_ramekin.bmp,new13,1,2,1164,6,796,
36,old,animal_monarch_old.bmp,old08,1,1,1867,6,1103,
37,old,musical_double bass.bmp,old45,1,1,2488,9,931,
38,new,kitchen_baking spatula.bmp,new01,1,2,1417,9,931,
39,old,animal_frog.bmp,old06,1,1,1294,5,1288,
40,old,musical_acoustic guitar_new.bmp,old42,1,1,2121,9,3338,
41,old,sporting_americanfootball.bmp,old53,0,2,2138,9,3338,
42,new,animal_gorilla.bmp,new15,1,2,1794,9,3338,
43,old,fruit_lemon_new.bmp,old69,0,2,1240,9,3338,
44,old,kitchen_wooden spoon_old.bmp,old39,1,1,1410,6,776,
45,new,sporting_baseball bat_new.bmp,new08,1,2,2901,6,776,
46,old,fruit_green grapes.bmp,old68,0,2,1583,6,776,
47,old,musical_xylophone_old.bmp,old52,0,2,1757,6,776,
48,new,sporting_flippers.bmp,new02,1,2,1205,6,776,
49,new,sporting_basketball_new.bmp,new14,1,2,3666,6,776,
50,old,kitchen_tea cup and saucer.bmp,old37,0,2,2924,6,776,
51,new,animal_horse.bmp,new20,1,2,1051,6,776,
52,old,musical_violin_old.bmp,old51,1,1,2575,8,590,
53,old,sporting_soccer ball_new.bmp,old65,0,2,3466,8,590,
54,old,vegie_garlic01a.bmp,old74,1,1,1532,8,597,
55,old,animal_zebra_old.bmp,old13,1,1,1722,6,571,
56,old,food_pickle01a.bmp,old22,1,1,1328,5,633,
57,old,kitchen_ladle.bmp,old31,1,1,2310,5,2408,
58,old,kitchen_apron.bmp,old27,1,1,2372,6,1482,
59,new,musical_tambourine_new.bmp,new06,1,2,2125,6,1482,
60,new,sporting_golf ball.bmp,new19,1,2,1429,6,1482,
61,new,animal_seal.bmp,new38,1,2,848,6,1482,
62,old,kitchen_martini glass.bmp,old32,1,1,4108,6,774,
63,old,kitchen_coffee pot.bmp,old29,0,2,1788,6,774,
64,old,food_bottleofredwine01.bmp,old15,1,1,1466,6,574,
65,old,food_pecan02.bmp,old21,1,1,3188,8,971,
66,new,food_drink.bmp,new05,1,2,2073,8,971,
67,old,food_croissant01.bmp,old19,0,2,2099,8,971,
68,new,fruit_cherry.bmp,old67,1,1,1269,9,601,
69,new,vegie_snowpea01.bmp,new27,1,2,2526,9,601,
70,old,sporting_snow shoes_old.bmp,old64,1,1,2333,6,1614,
71,new,musical_bongo drum.bmp,new23,1,2,1859,6,1614,
72,new,musical_bagpipes.bmp,new35,1,2,1006,6,1614,
