category	stim	oldnumber	recognition_acc	recognition_resp	recognition_rt	spatial_resp	spatial_rt	spatial_acc( corriger voir output-encodage)
old	musical_clarinet_new.bmp	old44	0	2	3943	8	466	
old	musical_piano_old.bmp	old48	1	1	2998	8	604	
old	kitchen_big cooking pot.bmp	old28	1	1	4240	9	461	
new	vegie_snowpea01.bmp	new27	1	2	3295	9	461	
new	kitchen_baking spatula.bmp	new01	1	2	1639	9	461	
old	animal_penguin.bmp	old10	1	1	2155	6	755	
old	food_cracker02.bmp	old18	1	1	1649	9	517	
old	sporting_footballhelmet.bmp	old57	1	1	1903	5	649	
old	sporting_karate clothing.bmp	old60	0	2	5020	5	649	
old	food_softcheese.bmp	old24	1	1	2000	9	886	
old	animal_zebra_old.bmp	old13	1	1	998	8	492	
old	sporting_bicycle_old.bmp	old55	0	2	1222	8	492	
new	food_cookie01.bmp	new11	1	2	1906	8	492	
new	musical_uculele_new.bmp	new39	1	2	5889	8	492	
old	musical_xylophone_old.bmp	old52	1	1	1123	9	444	
