,category,stim,oldnumber,recognition_acc,recognition_resp,recognition_rt,spatial_resp,spatial_rt,spatial_acc( corriger voir output-encodage)
0,new,fruit_granny smith apple.bmp,new16,1,2,2596,,0,
1,old,sporting_soccer ball_new.bmp,old65,1,1,1296,8,2026,
2,old,food_candy.bmp,old16,1,1,2621,6,2178,
3,old,animal_zebra_old.bmp,old13,1,1,1967,9,1151,
4,old,musical_harp_new.bmp,old43,1,1,2134,6,1008,
5,old,kitchen_martini glass.bmp,old32,1,1,1468,8,968,
6,new,animal_gorilla.bmp,new15,1,2,2462,8,968,
7,new,kitchen_spatula_old.bmp,new37,1,2,1503,8,968,
8,new,food_walnut01c.bmp,new34,1,2,1791,8,968,
9,old,musical_acoustic guitar_new.bmp,old42,1,1,2035,8,2272,
10,old,animal_parrot.bmp,old09,1,1,1970,5,1258,
11,old,musical_piano_old.bmp,old48,1,1,1861,6,977,
12,old,animal_dalmation_old.bmp,old04,1,1,1582,5,3126,
13,old,animal_penguin.bmp,old10,0,2,3302,5,3126,
14,old,kitchen_wooden spoon_old.bmp,old39,1,1,1182,6,2550,
15,old,kitchen_pitcher.bmp,old34,1,1,1277,9,1224,
16,new,musical_tambourine_new.bmp,new06,1,2,1883,9,1224,
17,old,kitchen_apron.bmp,old27,1,1,1300,5,2254,
18,old,kitchen_big cooking pot.bmp,old28,1,1,1080,6,844,
19,old,sporting_fishing rod.bmp,old59,1,1,1030,8,963,
20,old,food_croissant01.bmp,old19,0,2,2986,8,963,
21,old,vegie_green capsicum.bmp,old75,1,1,1296,8,2226,
22,new,sporting_weighlifting.bmp,new25,1,2,1510,8,2226,
23,new,kitchen_toaster_old.bmp,new30,1,2,886,8,2226,
24,old,kitchen_plate.bmp,old35,1,1,1839,6,2260,
25,old,musical_harmonica_new.bmp,old47,1,1,1374,5,1973,
26,old,kitchen_ladle.bmp,old31,1,1,939,6,4355,
27,old,vegie_cauliflower.bmp,old72,1,1,1553,8,913,
28,old,animal_farm pig.bmp,old05,0,2,1514,8,913,
29,old,food_pickle01a.bmp,old22,1,1,1258,5,2286,
30,old,musical_violin_old.bmp,old51,1,1,1791,6,2269,
31,old,kitchen_scrubbing brush.bmp,old36,0,2,1360,6,2269,
32,old,musical_double bass.bmp,old45,0,2,1742,6,2269,
33,new,animal_seal.bmp,new38,1,2,796,6,2269,
34,new,musical_zamponia windflute.bmp,new29,1,2,970,6,2269,
35,old,sporting_snow shoes_old.bmp,old64,1,1,2239,8,2668,
36,old,sporting_rollerblade.bmp,old62,1,1,3502,6,1520,
37,new,sporting_windsurf.bmp,new31,1,2,1447,6,1520,
38,new,musical_bongo drum.bmp,new23,1,2,914,6,1520,
39,old,food_bottleofredwine01.bmp,old15,1,1,3906,6,3028,
40,old,sporting_boxing_gloves.bmp,old56,1,1,1781,5,1214,
41,old,animal_camel_new.bmp,old01,1,1,1258,9,998,
42,new,kitchen_garlic press.bmp,new07,1,2,1228,9,998,
43,old,sporting_hockey stick_old.bmp,old58,1,1,1831,6,1452,
44,new,fruit_cherry.bmp,old67,0,2,1383,6,1452,
45,old,sporting_americanfootball.bmp,old53,1,1,3021,9,3547,
46,old,sporting_skipping rope.bmp,old63,1,1,1083,6,1494,
47,old,animal_sheep.bmp,old11,0,2,2183,6,1494,
48,new,vegie_pumpkin.bmp,new21,1,2,1156,6,1494,
49,old,fruit_green grapes.bmp,old68,0,2,1876,6,1494,
50,old,food_toast.bmp,old26,1,1,1085,9,992,
51,old,fruit_watermelon_old.bmp,old71,1,1,1534,8,2415,
52,old,kitchen_white strainer.bmp,old38,1,1,1459,6,855,
53,new,musical_bagpipes.bmp,new35,1,2,1353,6,855,
54,old,sporting_bicycle_old.bmp,old55,0,2,942,6,855,
55,new,musical_french horn_old.bmp,new12,1,2,941,6,855,
56,new,vegie_snowpea01.bmp,new27,1,2,1196,6,855,
57,old,vegie_garlic01a.bmp,old74,1,1,1847,9,2820,
58,old,food_cracker02.bmp,old18,1,1,1327,8,1345,
59,old,food_baguette01.bmp,old14,0,2,1512,8,1345,
60,old,animal_frog.bmp,old06,0,2,1112,8,1345,
61,old,sporting_footballhelmet.bmp,old57,0,2,1576,8,1345,
62,new,animal_giraffe.bmp,new03,1,2,878,8,1345,
63,old,animal_lion_new.bmp,old07,1,1,1737,8,914,
64,old,vegie_mushroom.bmp,old76,1,1,3434,8,1231,
65,old,animal_cheetah.bmp,old02,1,1,4683,8,638,
66,old,musical_accordion_old.bmp,old41,0,2,1168,8,638,
67,new,food_drink.bmp,new05,1,2,942,8,638,
68,old,food_shellpasta.bmp,old25,1,1,1980,9,1500,
69,old,vegie_corn02.bmp,old73,1,1,5436,6,696,
70,old,musical_xylophone_old.bmp,old52,0,2,2474,6,696,
71,new,animal_horse.bmp,new20,1,2,1275,6,696,
72,old,kitchen_tea cup and saucer.bmp,old37,1,1,1165,5,741,
73,new,sporting_basketball_new.bmp,new14,1,2,1164,5,741,
74,old,fruit_lemon_new.bmp,old69,0,2,1068,5,741,
75,old,kitchen_peppermill.bmp,old33,0,2,1358,5,741,
76,new,musical_uculele_new.bmp,new39,1,2,1739,5,741,
