,category,stim,oldnumber,recognition_acc,recognition_resp,recognition_rt,spatial_resp,spatial_rt,spatial_acc( corriger voir output-encodage)
0,new,vegie_broccoli.bmp,new36,1,2,1947,,0,
1,new,sporting_baseball bat_new.bmp,new08,1,2,2413,,0,
2,old,vegie_mushroom.bmp,old76,1,1,5244,8,3562,
3,new,musical_french horn_old.bmp,new12,1,2,1699,8,3562,
4,new,sporting_flippers.bmp,new02,1,2,1175,8,3562,
5,new,sporting_windsurf.bmp,new31,1,2,1142,8,3562,
6,old,food_cracker02.bmp,old18,1,1,1919,9,1257,
7,old,food_rawchicken.bmp,old23,1,1,1798,8,1293,
8,new,kitchen_kettle_new.bmp,new24,1,2,3144,8,1293,
9,new,food_cookie01.bmp,new11,1,2,1434,8,1293,
10,old,sporting_bicycle_old.bmp,old55,1,1,1336,5,1689,
11,old,vegie_cauliflower.bmp,old72,1,1,1349,5,902,
12,new,food_pizza.bmp,new22,1,2,1160,5,902,
13,old,animal_farm pig.bmp,old05,1,1,1513,6,6243,
14,old,sporting_boxing_gloves.bmp,old56,0,2,2186,6,6243,
15,new,sporting_weighlifting.bmp,new25,1,2,5793,6,6243,
16,old,food_softcheese.bmp,old24,1,1,1290,5,1021,
17,old,sporting_hockey stick_old.bmp,old58,1,1,1123,5,1077,
18,old,food_toast.bmp,old26,1,1,1552,8,874,
19,new,animal_ostrich.bmp,new26,1,2,1309,8,874,
20,old,fruit_watermelon_old.bmp,old71,0,2,856,8,874,
21,old,animal_frog.bmp,old06,1,1,5076,8,1865,
22,old,food_croissant01.bmp,old19,1,1,1190,5,877,
23,old,animal_penguin.bmp,old10,1,1,1312,6,1580,
24,old,sporting_skipping rope.bmp,old63,1,1,1676,8,2119,
25,old,animal_cheetah.bmp,old02,1,1,1201,8,9000,
26,new,food_bagel01.bmp,new17,1,2,4201,8,9000,
27,old,food_baguette01.bmp,old14,0,2,1321,8,9000,
28,old,food_shellpasta.bmp,old25,1,1,1347,6,764,
29,old,animal_camel_new.bmp,old01,1,1,868,8,665,
30,old,kitchen_apron.bmp,old27,1,1,1253,6,418,
31,old,musical_harmonica_new.bmp,old47,1,1,1239,5,1469,
32,old,food_bottleofredwine01.bmp,old15,1,1,976,6,432,
33,old,animal_parrot.bmp,old09,1,1,1110,8,392,
34,old,kitchen_pitcher.bmp,old34,1,1,1143,9,536,
35,old,fruit_green grapes.bmp,old68,0,2,1689,9,536,
36,new,kitchen_toaster_old.bmp,new30,1,2,1124,9,536,
37,new,fruit_rasberry.bmp,new10,1,2,1366,9,536,
38,old,kitchen_plate.bmp,old35,1,1,1319,5,2513,
39,old,sporting_snow shoes_old.bmp,old64,1,1,1156,6,341,
40,old,fruit_blackberry_new.bmp,old66,1,1,1110,9,448,
41,old,sporting_fishing rod.bmp,old59,1,1,1685,6,2009,
42,new,musical_tambourine_new.bmp,new06,1,2,2223,6,2009,
43,old,kitchen_ladle.bmp,old31,1,1,1509,8,2655,
44,old,fruit_pineapple_old.bmp,old70,1,1,1165,6,309,
45,new,animal_gorilla.bmp,new15,1,2,2231,6,309,
46,new,vegie_snowpea01.bmp,new27,1,2,1837,6,309,
47,old,sporting_americanfootball.bmp,old53,0,2,3203,6,309,
48,old,musical_piano_old.bmp,old48,1,1,1346,8,475,
49,new,vegie_pumpkin.bmp,new21,0,1,1511,9,777,
50,old,vegie_corn02.bmp,old73,1,1,2921,8,468,
51,old,food_candy.bmp,old16,1,1,1032,8,317,
52,new,sporting_golf ball.bmp,new19,1,2,1375,8,317,
53,old,animal_chimpanzee.bmp,old03,1,1,1231,6,308,
54,old,vegie_garlic01a.bmp,old74,1,1,1152,5,1376,
55,new,animal_seal.bmp,new38,1,2,1392,5,1376,
56,old,musical_triangle.bmp,old49,1,1,2063,8,492,
57,old,kitchen_big cooking pot.bmp,old28,1,1,2207,8,325,
58,new,fruit_apricot_new.bmp,new04,1,2,3311,8,325,
59,old,musical_tuba.bmp,old50,0,2,2914,8,325,
60,new,kitchen_garlic press.bmp,new07,1,2,1437,8,325,
61,new,food_bread.bmp,new28,1,2,1371,8,325,
62,old,animal_dalmation_old.bmp,old04,0,2,1178,8,325,
63,new,fruit_cherry.bmp,old67,1,1,1402,6,969,
64,old,sporting_badminton racquet.bmp,old54,1,1,1752,8,729,
65,old,animal_monarch_old.bmp,old08,1,1,1435,8,313,
66,old,musical_double bass.bmp,old45,1,1,1251,6,528,
67,new,animal_pigeon.bmp,new32,1,2,1473,6,528,
68,old,vegie_green capsicum.bmp,old75,1,1,1021,8,283,
69,old,kitchen_cookie cutter.bmp,old30,1,1,1215,8,309,
70,new,animal_horse.bmp,new20,1,2,1151,8,309,
71,old,sporting_footballhelmet.bmp,old57,0,2,2417,8,309,
72,old,sporting_karate clothing.bmp,old60,1,1,1215,5,1862,
73,old,kitchen_peppermill.bmp,old33,1,1,1131,5,252,
74,new,sporting_basketball_new.bmp,new14,1,2,1281,5,252,
75,old,musical_violin_old.bmp,old51,0,2,3741,5,252,
76,new,kitchen_baking spatula.bmp,new01,1,2,1774,5,252,
77,old,musical_harp_new.bmp,old43,1,1,1350,5,1295,
78,old,kitchen_martini glass.bmp,old32,1,1,1066,6,270,
79,old,vegie_radish.bmp,old77,1,1,1226,9,1160,
80,new,food_drink.bmp,new05,1,2,1392,9,1160,
81,old,sporting_soccer ball_new.bmp,old65,0,2,1496,9,1160,
82,old,animal_lion_new.bmp,old07,0,2,2675,9,1160,
83,new,vegie_cucumber.bmp,new33,0,1,1471,9,1899,
84,old,hard_musical_recorder.bmp,old40,1,1,1215,8,453,
85,new,fruit_granny smith apple.bmp,new16,1,2,1201,8,453,
86,old,animal_siamese cat.bmp,old12,1,1,1415,5,254,
87,old,musical_xylophone_old.bmp,old52,1,1,1186,6,257,
88,old,kitchen_tea cup and saucer.bmp,old37,1,1,1373,5,245,
89,old,musical_drums_old.bmp,old46,0,2,1882,5,245,
90,new,musical_bagpipes.bmp,new35,1,2,1294,5,245,
91,old,sporting_rollerblade.bmp,old62,1,1,1353,8,298,
92,old,kitchen_white strainer.bmp,old38,1,1,1213,9,355,
93,old,food_chocolatemilk.bmp,old17,1,1,1163,5,1108,
94,old,animal_sheep.bmp,old11,1,1,1326,5,1616,
95,old,food_frenchfries.bmp,old20,1,1,1359,6,1367,
96,old,musical_accordion_old.bmp,old41,1,1,1088,9,818,
97,old,animal_zebra_old.bmp,old13,1,1,1097,6,275,
98,old,musical_acoustic guitar_new.bmp,old42,1,1,1630,8,460,
99,new,musical_uculele_new.bmp,new39,1,2,3361,8,460,
100,new,musical_bongo drum.bmp,new23,1,2,1154,8,460,
101,old,kitchen_wooden spoon_old.bmp,old39,1,1,1114,8,301,
102,old,fruit_lemon_new.bmp,old69,1,1,1048,5,237,
103,old,musical_clarinet_new.bmp,old44,1,1,2378,8,338,
104,new,kitchen_ramekin.bmp,new13,1,2,1667,8,338,
105,old,food_pecan02.bmp,old21,1,1,1519,9,338,
106,new,kitchen_spatula_old.bmp,new37,1,2,1739,9,338,
107,new,musical_zamponia windflute.bmp,new29,1,2,1204,9,338,
108,old,food_pickle01a.bmp,old22,1,1,1163,8,331,
109,old,kitchen_coffee pot.bmp,old29,0,2,1212,8,331,
110,new,food_walnut01c.bmp,new34,1,2,1346,8,331,
111,new,animal_giraffe.bmp,new03,0,1,1299,6,1311,
112,new,animal_dolphin_old.bmp,new09,1,2,1225,6,1311,
113,old,kitchen_scrubbing brush.bmp,old36,1,1,1231,5,397,
114,old,sporting_mini-trampoline.bmp,old61,1,1,1436,9,377,
115,old,vegie_carrot.bmp,old78,1,1,1273,9,325,
116,new,kitchen_fork_old.bmp,new18,1,2,1614,9,325,
