	category	Stim	OldNumber	Recognition_ACC	Recognition_RESP	Recognition_RT	Spatial_RESP	Spatial_RT
0	OLD	kitchen_cookie cutter.bmp	Old30	1	1	4.045	8	1747
1	New	fruit_granny smith apple.bmp	New16	1	2	3.804	8	1747
2	OLD	food_baguette01.bmp	Old14	1	1	2.018	9	1040
3	OLD	food_cracker02.bmp	Old18	1	1	1.71	6	736
4	OLD	animal_chimpanzee.bmp	Old03	1	1	4.728	5	659
5	New	musical_uculele_new.bmp	New39	0	1	8.056	9	2142
6	OLD	food_toast.bmp	Old26	1	1	1.632	8	742
7	OLD	musical_acoustic guitar_new.bmp	Old42	1	1	22.351	6	615
8	New	kitchen_toaster_old.bmp	New30	1	2	2.517	6	615
9	New	animal_horse.bmp	New20	1	2	1.007	6	615
10	New	food_walnut01c.bmp	New34	1	2	1.246	6	615
11	OLD	kitchen_wooden spoon_old.bmp	Old39	1	1	2.211	6	1410
12	OLD	animal_dalmation_old.bmp	Old04	1	1	1.704	9	787
13	New	kitchen_kettle_new.bmp	New24	1	2	1.69	9	787
14	New	animal_pigeon.bmp	New32	1	2	1.493	9	787
15	New	fruit_rasberry.bmp	New10	1	2	1.546	9	787
16	New	kitchen_ramekin.bmp	New13	1	2	1.164	9	787
17	OLD	kitchen_coffee pot.bmp	Old29	1	1	3.092	5	1816
18	New	musical_tambourine_new.bmp	New06	1	2	1.495	5	1816
19	New	sporting_flippers.bmp	New02	1	2	1.194	5	1816
20	OLD	sporting_fishing rod.bmp	Old59	1	1	1.841	8	1263
21	OLD	vegie_radish.bmp	Old77	1	1	1.818	9	1137
22	New	sporting_golf ball.bmp	New19	1	2	1.322	9	1137
23	OLD	fruit_watermelon_old.bmp	Old71	0	2	2.22	9	1137
24	OLD	kitchen_plate.bmp	Old35	0	2	1.186	9	1137
25	OLD	musical_tuba.bmp	Old50	1	1	2.217	9	2480
26	OLD	vegie_garlic01a.bmp	Old74	1	1	1.572	6	676
27	OLD	food_bottleofredwine01.bmp	Old15	0	2	5.728	6	676
28	OLD	food_candy.bmp	Old16	0	2	1.212	6	676
29	OLD	kitchen_ladle.bmp	Old31	1	1	2.13	5	556
30	OLD	sporting_mini-trampoline.bmp	Old61	1	1	2.244	9	1674
31	OLD	sporting_skipping rope.bmp	Old63	1	1	1.614	8	677
32	New	kitchen_baking spatula.bmp	New01	1	2	1.655	8	677
33	OLD	musical_triangle.bmp	Old49	1	1	1.204	8	914
34	OLD	animal_sheep.bmp	Old11	1	1	3.189	8	901
35	New	fruit_apricot_new.bmp	New04	1	2	1.44	8	901
36	OLD	food_frenchfries.bmp	Old20	1	1	1.445	6	538
37	OLD	sporting_snow shoes_old.bmp	Old64	1	1	1.403	5	522
38	OLD	animal_zebra_old.bmp	Old13	1	1	1.124	5	566
39	OLD	food_chocolatemilk.bmp	Old17	1	1	0.974	5	526
40	OLD	musical_harp_new.bmp	Old43	1	1	0.839	9	636
41	OLD	animal_farm pig.bmp	Old05	0	2	3.281	9	636
42	OLD	musical_harmonica_new.bmp	Old47	1	1	1.43	8	1092
43	OLD	food_pecan02.bmp	Old21	0	2	4.959	8	1092
44	New	musical_bagpipes.bmp	New35	1	2	2.08	8	1092
45	New	food_drink.bmp	New05	1	2	1.253	8	1092
46	OLD	kitchen_martini glass.bmp	Old32	1	1	3.936	6	562
47	New	sporting_baseball bat_new.bmp	New08	1	2	4.171	6	562
48	New	food_cookie01.bmp	New11	1	2	0.996	6	562
49	OLD	animal_monarch_old.bmp	Old08	0	2	2.107	6	562
50	OLD	musical_violin_old.bmp	Old51	1	1	3.269	8	970
51	New	animal_gorilla.bmp	New15	1	2	4.586	8	970
52	New	vegie_cucumber.bmp	New33	0	1	7.05	6	689
53	New	animal_ostrich.bmp	New26	1	2	1.18	6	689
54	OLD	kitchen_white strainer.bmp	Old38	1	1	1.475	6	496
55	New	animal_dolphin_old.bmp	New09	1	2	1.162	6	496
56	OLD	animal_camel_new.bmp	Old01	1	1	1.011	5	593
57	OLD	musical_double bass.bmp	Old45	1	1	1.024	6	758
58	New	fruit_cherry.bmp	Old67	0	2	1.366	6	758
59	OLD	fruit_blackberry_new.bmp	Old66	1	1	2.174	6	3487
60	OLD	kitchen_tea cup and saucer.bmp	Old37	0	2	1.203	6	3487
61	OLD	food_rawchicken.bmp	Old23	1	1	2.993	9	1529
62	New	musical_bongo drum.bmp	New23	1	2	1.147	9	1529
63	New	animal_giraffe.bmp	New03	1	2	1.276	9	1529
64	OLD	musical_clarinet_new.bmp	Old44	1	1	2.92	8	563
65	New	vegie_pumpkin.bmp	New21	1	2	1.291	8	563
